     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IEX;           0.586;           0.001;           0.000;          5;         31;          85.452;          92.226;          85.880;           1.164 ( 1.355 %);   2220.952
       IEX;           2.344;           0.002;           0.000;         10;         31;         620.516;         627.452;         621.370;           1.165 ( 0.188 %);   1227.833
       IEX;           5.273;           0.005;           0.000;         15;         31;        2099.548;        3476.935;        2397.253;         445.764 (18.595 %);    716.075
       IEX;           9.375;           0.009;           0.000;         20;         31;        4944.613;        7346.903;        5198.324;         514.903 ( 9.905 %);    587.066
       IEX;          14.648;           0.014;           0.000;         25;         31;       13935.742;       16763.581;       14647.887;         650.221 ( 4.439 %);    325.533
       IEX;          21.094;           0.021;           0.000;         30;         31;       23424.774;       25359.484;       23842.704;         498.925 ( 2.093 %);    287.990
       IEX;          28.711;           0.028;           0.000;         35;         31;       34741.161;       37324.355;       35820.527;         700.930 ( 1.957 %);    260.912
       IEX;          37.500;           0.037;           0.000;         40;         31;       48064.258;       50835.323;       49412.926;         763.664 ( 1.545 %);    247.041
       IEX;          47.461;           0.046;           0.000;         45;         31;       65262.065;       80201.387;       67502.399;        2498.000 ( 3.701 %);    228.874
       IEX;          58.594;           0.057;           0.000;         50;         31;       85179.968;       89355.129;       87752.145;        1069.681 ( 1.219 %);    217.356
       IEX;          70.898;           0.069;           0.000;         55;         31;      109611.097;      122436.903;      113004.038;        2343.577 ( 2.074 %);    204.231
       IEX;          84.375;           0.082;           0.000;         60;         31;      137265.581;      142740.484;      141185.218;        1757.812 ( 1.245 %);    194.538
       IEX;          99.023;           0.097;           0.000;         65;         31;      170340.129;      176504.774;      174714.183;        1798.743 ( 1.030 %);    184.497
       IEX;         114.844;           0.112;           0.000;         70;         31;      211195.194;      216614.290;      215219.994;        1425.874 ( 0.663 %);    173.701
