     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IKJ;           0.586;           0.001;           0.000;          5;         31;          85.516;          91.194;          85.869;           0.979 ( 1.140 %);   2221.230
       IKJ;           2.344;           0.002;           0.000;         10;         31;         620.548;        1823.065;         731.444;         254.474 (34.791 %);   1043.060
       IKJ;           5.273;           0.005;           0.000;         15;         31;        2099.452;       10400.710;        2762.124;        1637.767 (59.294 %);    621.483
       IKJ;           9.375;           0.009;           0.000;         20;         31;        4817.032;        9448.355;        5244.856;         978.727 (18.661 %);    581.857
       IKJ;          14.648;           0.014;           0.000;         25;         31;       13014.065;       17464.258;       14044.179;        1081.773 ( 7.703 %);    339.527
       IKJ;          21.094;           0.021;           0.000;         30;         31;       22007.484;       25156.323;       23549.239;         568.376 ( 2.414 %);    291.579
       IKJ;          28.711;           0.028;           0.000;         35;         31;       33918.000;       37187.710;       35217.718;         788.646 ( 2.239 %);    265.378
       IKJ;          37.500;           0.037;           0.000;         40;         31;       48068.935;       51033.645;       49413.280;         862.456 ( 1.745 %);    247.039
       IKJ;          47.461;           0.046;           0.000;         45;         31;       65192.903;       68048.903;       66938.802;         953.287 ( 1.424 %);    230.801
       IKJ;          58.594;           0.057;           0.000;         50;         31;       84921.677;       88933.839;       87570.292;        1234.979 ( 1.410 %);    217.808
       IKJ;          70.898;           0.069;           0.000;         55;         31;      108720.419;      113989.000;      112570.749;        1482.691 ( 1.317 %);    205.017
       IKJ;          84.375;           0.082;           0.000;         60;         31;      133405.323;      143571.290;      141489.568;        2045.674 ( 1.446 %);    194.119
       IKJ;          99.023;           0.097;           0.000;         65;         31;      165641.581;      177828.677;      175478.160;        2295.311 ( 1.308 %);    183.693
       IKJ;         114.844;           0.112;           0.000;         70;         31;      205117.677;      217294.548;      215924.779;        2276.165 ( 1.054 %);    173.135
