     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.586;           0.001;           0.000;          5;         31;          89.290;          97.000;          91.867;           1.620 ( 1.763 %);   2076.205
   UNROLL8;           2.344;           0.002;           0.000;         10;         31;         414.226;         420.935;         415.259;           1.112 ( 0.268 %);   1837.262
   UNROLL8;           5.273;           0.005;           0.000;         15;         31;        1132.677;        2667.194;        1317.032;         361.577 (27.454 %);   1303.395
   UNROLL8;           9.375;           0.009;           0.000;         20;         31;        2963.548;        3695.774;        2987.832;         127.096 ( 4.254 %);   1021.395
   UNROLL8;          14.648;           0.014;           0.000;         25;         31;        6194.032;        6978.968;        6453.305;         150.109 ( 2.326 %);    738.904
   UNROLL8;          21.094;           0.021;           0.000;         30;         31;       10777.935;       11399.129;       11067.389;         180.600 ( 1.632 %);    620.422
   UNROLL8;          28.711;           0.028;           0.000;         35;         31;       16840.387;       17784.065;       17323.162;         325.820 ( 1.881 %);    539.509
   UNROLL8;          37.500;           0.037;           0.000;         40;         31;       24169.290;       25129.355;       24558.239;         410.903 ( 1.673 %);    497.065
   UNROLL8;          47.461;           0.046;           0.000;         45;         31;       34891.581;       36251.387;       35898.276;         520.729 ( 1.451 %);    430.370
   UNROLL8;          58.594;           0.057;           0.000;         50;         31;       47248.355;       49696.290;       49112.283;         797.041 ( 1.623 %);    388.365
   UNROLL8;          70.898;           0.069;           0.000;         55;         31;       61433.742;       68543.935;       65768.109;        1546.404 ( 2.351 %);    350.914
   UNROLL8;          84.375;           0.082;           0.000;         60;         31;       81829.065;       85024.548;       84071.441;        1246.877 ( 1.483 %);    326.696
   UNROLL8;          99.023;           0.097;           0.000;         65;         31;      102153.419;      108788.806;      107380.472;        1648.721 ( 1.535 %);    300.187
   UNROLL8;         114.844;           0.112;           0.000;         70;         31;      129427.710;      136338.032;      135122.142;        1750.091 ( 1.295 %);    276.668
