     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.586;           0.001;           0.000;          5;         31;         107.581;         210.742;         111.591;          17.807 (15.957 %);   1709.226
     CBLAS;           2.344;           0.002;           0.000;         10;         31;         667.968;        1275.161;         771.055;         136.561 (17.711 %);    989.475
     CBLAS;           5.273;           0.005;           0.000;         15;         31;        2134.258;        3581.484;        2367.511;         352.047 (14.870 %);    725.071
     CBLAS;           9.375;           0.009;           0.000;         20;         31;        4965.452;        7698.968;        5293.935;         529.907 (10.010 %);    576.463
     CBLAS;          14.648;           0.014;           0.000;         25;         31;        9357.806;       11074.484;        9954.919;         315.956 ( 3.174 %);    478.997
     CBLAS;          21.094;           0.021;           0.000;         30;         31;       19431.935;       26532.677;       20372.195;        1143.183 ( 5.611 %);    337.050
     CBLAS;          28.711;           0.028;           0.000;         35;         31;       35827.774;       37573.097;       36335.719;         514.931 ( 1.417 %);    257.213
     CBLAS;          37.500;           0.037;           0.000;         40;         31;       51652.968;       54672.161;       53561.637;         802.715 ( 1.499 %);    227.906
     CBLAS;          47.461;           0.046;           0.000;         45;         31;       69430.032;       72311.548;       71317.059;         923.566 ( 1.295 %);    216.632
     CBLAS;          58.594;           0.057;           0.000;         50;         31;       89865.710;       96613.000;       93157.956;        1701.560 ( 1.827 %);    204.744
     CBLAS;          70.898;           0.069;           0.000;         55;         31;      120468.871;      126438.516;      122729.265;        1629.651 ( 1.328 %);    188.047
     CBLAS;          84.375;           0.082;           0.000;         60;         31;      158714.871;      171049.871;      163404.237;        2582.432 ( 1.580 %);    168.085
     CBLAS;          99.023;           0.097;           0.000;         65;         31;      189840.387;      196468.065;      193219.952;        1290.748 ( 0.668 %);    166.826
     CBLAS;         114.844;           0.112;           0.000;         70;         31;      234389.839;      241043.065;      236738.162;         898.273 ( 0.379 %);    157.913
