     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;          77.000;         605.677;          97.174;          91.344 (94.000 %);   1962.818
       IJK;           2.344;           0.002;           0.000;         10;         31;         463.258;        1704.968;         583.345;         298.665 (51.199 %);   1307.870
       IJK;           5.273;           0.005;           0.000;         15;         31;        1582.032;        2366.129;        1685.702;         184.506 (10.945 %);   1018.338
       IJK;           9.375;           0.009;           0.000;         20;         31;        3582.968;        5760.194;        3794.671;         503.772 (13.276 %);    804.222
       IJK;          14.648;           0.014;           0.000;         25;         31;        6955.645;        9707.290;        7390.080;         593.833 ( 8.036 %);    645.239
       IJK;          21.094;           0.021;           0.000;         30;         31;       12792.935;       18299.194;       13977.492;        1605.551 (11.487 %);    491.251
       IJK;          28.711;           0.028;           0.000;         35;         31;       21151.968;       28194.290;       23193.709;        1915.262 ( 8.258 %);    402.954
       IJK;          37.500;           0.037;           0.000;         40;         31;       32676.871;       41332.032;       36650.686;        2233.758 ( 6.095 %);    333.064
       IJK;          47.461;           0.046;           0.000;         45;         31;       48170.129;       58068.548;       53880.862;        3050.290 ( 5.661 %);    286.735
       IJK;          58.594;           0.057;           0.000;         50;         31;       70537.484;       81240.516;       77238.914;        3319.957 ( 4.298 %);    246.941
       IJK;          70.898;           0.069;           0.000;         55;         31;      103116.903;      113872.968;      110371.149;        2840.026 ( 2.573 %);    209.103
       IJK;          84.375;           0.082;           0.000;         60;         31;      139860.226;      153960.290;      149992.566;        3715.832 ( 2.477 %);    183.115
       IJK;          99.023;           0.097;           0.000;         65;         31;      183286.419;      220103.774;      196830.429;        5792.724 ( 2.943 %);    163.766
       IJK;         114.844;           0.112;           0.000;         70;         31;      235341.806;      250753.129;      245846.213;        3871.053 ( 1.575 %);    152.063
