     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.586;           0.001;           0.000;          5;         31;         121.806;         321.258;         128.374;          34.630 (26.976 %);   1485.770
     CBLAS;           2.344;           0.002;           0.000;         10;         31;         610.839;         748.710;         615.855;          23.854 ( 3.873 %);   1238.829
     CBLAS;           5.273;           0.005;           0.000;         15;         31;        2137.097;        3395.129;        2489.392;         384.309 (15.438 %);    689.572
     CBLAS;           9.375;           0.009;           0.000;         20;         31;        4534.613;        6493.194;        5075.274;         629.967 (12.412 %);    601.299
     CBLAS;          14.648;           0.014;           0.000;         25;         31;        9575.387;       11963.806;       10271.316;         541.183 ( 5.269 %);    464.242
     CBLAS;          21.094;           0.021;           0.000;         30;         31;       19445.677;       21321.387;       20493.274;         469.629 ( 2.292 %);    335.059
     CBLAS;          28.711;           0.028;           0.000;         35;         31;       25496.065;       30864.161;       27057.146;        1820.776 ( 6.729 %);    345.417
     CBLAS;          37.500;           0.037;           0.000;         40;         31;       51646.935;       54757.290;       53861.915;         625.947 ( 1.162 %);    226.636
     CBLAS;          47.461;           0.046;           0.000;         45;         31;       69429.387;       74285.452;       72033.242;        1020.733 ( 1.417 %);    214.478
     CBLAS;          58.594;           0.057;           0.000;         50;         31;       91515.613;       96246.677;       93774.022;        1256.149 ( 1.340 %);    203.398
     CBLAS;          70.898;           0.069;           0.000;         55;         31;      121489.806;      126426.484;      122801.083;        1582.810 ( 1.289 %);    187.937
     CBLAS;          84.375;           0.082;           0.000;         60;         31;      158231.161;      166392.677;      162711.864;        1770.925 ( 1.088 %);    168.800
     CBLAS;          99.023;           0.097;           0.000;         65;         31;      190990.258;      206459.323;      194540.105;        2946.045 ( 1.514 %);    165.694
     CBLAS;         114.844;           0.112;           0.000;         70;         31;      236391.871;      246162.000;      239554.608;        3218.756 ( 1.344 %);    156.056
