     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IEX;           0.586;           0.001;           0.000;          5;         31;          57.000;          61.839;          57.443;           0.861 ( 1.498 %);   3320.430
       IEX;           2.344;           0.002;           0.000;         10;         31;         445.065;         981.871;         490.345;         125.344 (25.562 %);   1555.924
       IEX;           5.273;           0.005;           0.000;         15;         31;         975.774;        1098.097;        1083.322;          39.884 ( 3.682 %);   1584.584
       IEX;           9.375;           0.009;           0.000;         20;         31;        1706.419;        3125.355;        1967.724;         391.833 (19.913 %);   1550.907
       IEX;          14.648;           0.014;           0.000;         25;         31;        4055.323;        6187.548;        4463.325;         476.714 (10.681 %);   1068.345
       IEX;          21.094;           0.021;           0.000;         30;         31;        6719.484;        8099.806;        7391.677;         253.534 ( 3.430 %);    928.944
       IEX;          28.711;           0.028;           0.000;         35;         31;       12618.935;       13494.065;       13135.869;         184.002 ( 1.401 %);    711.488
       IEX;          37.500;           0.037;           0.000;         40;         31;       16176.903;       16280.194;       16188.406;          24.780 ( 0.153 %);    754.060
       IEX;          47.461;           0.046;           0.000;         45;         31;       24259.452;       26125.065;       24936.064;         544.078 ( 2.182 %);    619.565
       IEX;          58.594;           0.057;           0.000;         50;         31;       32241.097;       34181.065;       32755.690;         652.788 ( 1.993 %);    582.295
       IEX;          70.898;           0.069;           0.000;         55;         31;       44814.226;       46743.613;       45241.713;         606.986 ( 1.342 %);    510.125
       IEX;          84.375;           0.082;           0.000;         60;         31;       52152.516;       54884.258;       53090.884;         945.737 ( 1.781 %);    517.336
       IEX;          99.023;           0.097;           0.000;         65;         31;       68463.419;       71569.065;       69917.485;        1244.117 ( 1.779 %);    461.032
       IEX;         114.844;           0.112;           0.000;         70;         31;       84704.516;       88832.839;       86237.422;        1445.856 ( 1.677 %);    433.501
