     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;          61.548;         248.194;          72.457;          31.871 (43.986 %);   2632.370
       IJK;           2.344;           0.002;           0.000;         10;         31;         423.065;        1970.613;         510.209;         307.148 (60.200 %);   1495.346
       IJK;           5.273;           0.005;           0.000;         15;         31;        1230.097;        2425.032;        1342.554;         283.835 (21.141 %);   1278.618
       IJK;           9.375;           0.009;           0.000;         20;         31;        3249.290;        5238.129;        3459.457;         431.062 (12.460 %);    882.149
       IJK;          14.648;           0.014;           0.000;         25;         31;        6604.484;       10729.258;        7127.249;         958.105 (13.443 %);    669.034
       IJK;          21.094;           0.021;           0.000;         30;         31;       12744.065;       16326.903;       13804.252;        1270.406 ( 9.203 %);    497.416
       IJK;          28.711;           0.028;           0.000;         35;         31;       20899.161;       27020.742;       22706.271;        1788.367 ( 7.876 %);    411.605
       IJK;          37.500;           0.037;           0.000;         40;         31;       31917.484;       39913.161;       34923.301;        2456.910 ( 7.035 %);    349.538
       IJK;          47.461;           0.046;           0.000;         45;         31;       46306.323;       54652.387;       50779.778;        2388.058 ( 4.703 %);    304.246
       IJK;          58.594;           0.057;           0.000;         50;         31;       69415.129;       97485.645;       76253.707;        5440.383 ( 7.135 %);    250.132
       IJK;          70.898;           0.069;           0.000;         55;         31;      102660.226;      113941.742;      108305.061;        2482.216 ( 2.292 %);    213.092
       IJK;          84.375;           0.082;           0.000;         60;         31;      140207.452;      152326.516;      146872.707;        3286.221 ( 2.237 %);    187.004
       IJK;          99.023;           0.097;           0.000;         65;         31;      180111.581;      197242.613;      191314.953;        3250.847 ( 1.699 %);    168.488
       IJK;         114.844;           0.112;           0.000;         70;         31;      230745.452;      250321.290;      239873.152;        5278.043 ( 2.200 %);    155.849
