     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IKJ;           0.586;           0.001;           0.000;          5;         31;          57.000;          62.742;          57.452;           0.984 ( 1.712 %);   3319.922
       IKJ;           2.344;           0.002;           0.000;         10;         31;         371.161;        1521.968;         446.642;         214.432 (48.010 %);   1708.167
       IKJ;           5.273;           0.005;           0.000;         15;         31;         882.677;        1500.806;         942.121;         113.805 (12.080 %);   1822.073
       IKJ;           9.375;           0.009;           0.000;         20;         31;        1646.194;        1652.194;        1647.267;           1.037 ( 0.063 %);   1852.619
       IKJ;          14.648;           0.014;           0.000;         25;         31;        3470.226;        4778.065;        3789.037;         393.143 (10.376 %);   1258.465
       IKJ;          21.094;           0.021;           0.000;         30;         31;        5772.065;        8780.290;        6571.081;         643.506 ( 9.793 %);   1044.951
       IKJ;          28.711;           0.028;           0.000;         35;         31;        9848.484;       12400.226;       11273.350;         684.512 ( 6.072 %);    829.036
       IKJ;          37.500;           0.037;           0.000;         40;         31;       13212.645;       16409.452;       15130.335;        1022.801 ( 6.760 %);    806.792
       IKJ;          47.461;           0.046;           0.000;         45;         31;       20517.419;       24749.323;       23262.223;        1390.835 ( 5.979 %);    664.147
       IKJ;          58.594;           0.057;           0.000;         50;         31;       26354.581;       33988.032;       31276.639;        2035.679 ( 6.509 %);    609.832
       IKJ;          70.898;           0.069;           0.000;         55;         31;       36505.774;       46495.677;       43747.815;        2335.455 ( 5.338 %);    527.544
       IKJ;          84.375;           0.082;           0.000;         60;         31;       42659.323;       58619.645;       52250.054;        3565.915 ( 6.825 %);    525.661
       IKJ;          99.023;           0.097;           0.000;         65;         31;       55125.355;       71501.097;       68358.600;        3815.155 ( 5.581 %);    471.546
       IKJ;         114.844;           0.112;           0.000;         70;         31;       69903.097;       88813.258;       84619.543;        4079.094 ( 4.821 %);    441.790
