     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.586;           0.001;           0.000;          5;         31;          60.355;         592.129;          76.871;          92.498 (120.329 %);   2481.234
   UNROLL8;           2.344;           0.002;           0.000;         10;         31;         449.581;         460.387;         451.014;           1.778 ( 0.394 %);   1691.610
   UNROLL8;           5.273;           0.005;           0.000;         15;         31;        1113.968;        2613.484;        1332.770;         318.508 (23.898 %);   1288.004
   UNROLL8;           9.375;           0.009;           0.000;         20;         31;        2221.484;        3271.065;        2338.285;         250.474 (10.712 %);   1305.126
   UNROLL8;          14.648;           0.014;           0.000;         25;         31;        4694.000;        4975.645;        4738.972;          60.354 ( 1.274 %);   1006.204
   UNROLL8;          21.094;           0.021;           0.000;         30;         31;        7615.806;        8377.129;        7934.488;         342.567 ( 4.317 %);    865.394
   UNROLL8;          28.711;           0.028;           0.000;         35;         31;       12438.839;       12531.194;       12457.678;          18.691 ( 0.150 %);    750.221
   UNROLL8;          37.500;           0.037;           0.000;         40;         31;       14043.387;       15186.548;       14353.369;         324.039 ( 2.258 %);    850.465
   UNROLL8;          47.461;           0.046;           0.000;         45;         31;       22624.968;       26415.968;       24640.558;         859.965 ( 3.490 %);    626.996
   UNROLL8;          58.594;           0.057;           0.000;         50;         31;       28316.226;       31520.387;       30235.455;        1122.851 ( 3.714 %);    630.832
   UNROLL8;          70.898;           0.069;           0.000;         55;         31;       41997.290;       46876.806;       45053.515;        1459.326 ( 3.239 %);    512.256
   UNROLL8;          84.375;           0.082;           0.000;         60;         31;       47362.065;       52649.065;       51417.160;        1576.012 ( 3.065 %);    534.176
   UNROLL8;          99.023;           0.097;           0.000;         65;         31;      137876.548;      142922.387;      138330.691;        1117.661 ( 0.808 %);    233.023
   UNROLL8;         114.844;           0.112;           0.000;         70;         31;      161549.774;      167513.032;      163655.560;        2175.666 ( 1.329 %);    228.431
