     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.586;           0.001;           0.000;          5;         31;         101.581;         233.323;         105.983;          22.862 (21.571 %);   1799.668
     CBLAS;           2.344;           0.002;           0.000;         10;         31;         636.000;         977.355;         653.049;          63.688 ( 9.752 %);   1168.273
     CBLAS;           5.273;           0.005;           0.000;         15;         31;        2332.839;        3534.484;        2388.130;         215.116 ( 9.008 %);    718.811
     CBLAS;           9.375;           0.009;           0.000;         20;         31;        4976.581;        6000.290;        5349.360;         245.620 ( 4.592 %);    570.490
     CBLAS;          14.648;           0.014;           0.000;         25;         31;        8966.355;       16113.839;        9779.167;        1329.022 (13.590 %);    487.605
     CBLAS;          21.094;           0.021;           0.000;         30;         31;       17705.645;       19850.226;       18555.422;         412.842 ( 2.225 %);    370.051
     CBLAS;          28.711;           0.028;           0.000;         35;         31;       24203.065;       30819.742;       26144.219;        1904.494 ( 7.285 %);    357.479
     CBLAS;          37.500;           0.037;           0.000;         40;         31;       49088.710;       60038.742;       52931.113;        1871.056 ( 3.535 %);    230.621
     CBLAS;          47.461;           0.046;           0.000;         45;         31;       67687.839;       72758.032;       70459.360;        1232.602 ( 1.749 %);    219.269
     CBLAS;          58.594;           0.057;           0.000;         50;         31;       88398.129;       95657.484;       91903.985;        1587.398 ( 1.727 %);    207.537
     CBLAS;          70.898;           0.069;           0.000;         55;         31;      117698.613;      122120.258;      119568.885;        1562.880 ( 1.307 %);    193.018
     CBLAS;          84.375;           0.082;           0.000;         60;         31;      153072.226;      163394.645;      160695.654;        2540.764 ( 1.581 %);    170.918
     CBLAS;          99.023;           0.097;           0.000;         65;         31;      185420.226;      193856.903;      191356.518;        2113.130 ( 1.104 %);    168.451
     CBLAS;         114.844;           0.112;           0.000;         70;         31;      222308.065;      237291.000;      235810.417;        2855.194 ( 1.211 %);    158.534
