     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IEX;           0.586;           0.001;           0.000;          5;         31;         337.871;         874.710;         376.819;         127.812 (33.919 %);    506.171
       IEX;           2.344;           0.002;           0.000;         10;         31;        2259.129;        3012.677;        2309.303;         141.317 ( 6.119 %);    330.377
       IEX;           5.273;           0.005;           0.000;         15;         31;        7705.355;       10628.355;        8146.122;         631.483 ( 7.752 %);    210.728
       IEX;           9.375;           0.009;           0.000;         20;         31;       22871.774;       25260.645;       23547.592;         374.736 ( 1.591 %);    129.600
       IEX;          14.648;           0.014;           0.000;         25;         31;       42968.355;       45077.484;       43855.005;         739.590 ( 1.686 %);    108.730
       IEX;          21.094;           0.021;           0.000;         30;         31;       70840.065;       75834.484;       74228.009;        1424.906 ( 1.920 %);     92.505
       IEX;          28.711;           0.028;           0.000;         35;         31;      112780.710;      118456.839;      116186.848;        1601.559 ( 1.378 %);     80.439
       IEX;          37.500;           0.037;           0.000;         40;         31;      175700.129;      180504.710;      176624.811;         924.399 ( 0.523 %);     69.113
       IEX;          47.461;           0.046;           0.000;         45;         31;      238828.323;      256599.032;      244739.049;        3957.617 ( 1.617 %);     63.127
       IEX;          58.594;           0.057;           0.000;         50;         31;      325200.742;      336576.323;      331792.012;        3058.779 ( 0.922 %);     57.486
       IEX;          70.898;           0.069;           0.000;         55;         31;      430904.548;      476040.323;      438093.669;        7516.458 ( 1.716 %);     52.680
       IEX;          84.375;           0.082;           0.000;         60;         31;      562322.613;      588649.968;      570186.658;        6096.173 ( 1.069 %);     48.170
       IEX;          99.023;           0.097;           0.000;         65;         31;      703464.935;      737677.677;      717720.551;        5267.666 ( 0.734 %);     44.912
       IEX;         114.844;           0.112;           0.000;         70;         31;      888013.355;      925652.677;      896491.126;        6433.707 ( 0.718 %);     41.700
