     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;         438.161;        1399.290;         479.853;         170.881 (35.611 %);    397.486
       IJK;           2.344;           0.002;           0.000;         10;         31;        3108.194;        6691.516;        3387.616;         665.630 (19.649 %);    225.214
       IJK;           5.273;           0.005;           0.000;         15;         31;       10151.710;       15843.097;       11002.595;        1414.500 (12.856 %);    156.019
       IJK;           9.375;           0.009;           0.000;         20;         31;       26083.097;       33979.548;       28122.231;        2405.178 ( 8.553 %);    108.518
       IJK;          14.648;           0.014;           0.000;         25;         31;       49842.323;       59399.032;       54104.793;        2464.740 ( 4.555 %);     88.132
       IJK;          21.094;           0.021;           0.000;         30;         31;       87689.129;       98873.000;       93379.006;        2210.999 ( 2.368 %);     73.533
       IJK;          28.711;           0.028;           0.000;         35;         31;      140172.129;      158146.774;      146904.559;        3382.627 ( 2.303 %);     63.620
       IJK;          37.500;           0.037;           0.000;         40;         31;      211165.032;      230202.484;      219286.610;        3690.556 ( 1.683 %);     55.667
       IJK;          47.461;           0.046;           0.000;         45;         31;      300614.710;      319863.645;      310257.329;        3395.431 ( 1.094 %);     49.796
       IJK;          58.594;           0.057;           0.000;         50;         31;      410772.000;      440541.161;      424881.024;        5602.863 ( 1.319 %);     44.891
       IJK;          70.898;           0.069;           0.000;         55;         31;      545577.903;      615454.258;      562462.073;       10664.292 ( 1.896 %);     41.032
       IJK;          84.375;           0.082;           0.000;         60;         31;      711470.452;      738517.387;      727707.804;        5279.393 ( 0.725 %);     37.743
       IJK;          99.023;           0.097;           0.000;         65;         31;      909708.484;      985791.290;      925074.298;       11826.526 ( 1.278 %);     34.845
       IJK;         114.844;           0.112;           0.000;         70;         31;     1128664.000;     1179532.419;     1152245.348;        7619.608 ( 0.661 %);     32.445
