     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IKJ;           0.586;           0.001;           0.000;          5;         31;         379.258;        1292.710;         418.508;         157.751 (37.694 %);    455.749
       IKJ;           2.344;           0.002;           0.000;         10;         31;        2879.710;        4096.323;        3036.779;         312.763 (10.299 %);    251.233
       IKJ;           5.273;           0.005;           0.000;         15;         31;        9354.452;       12132.516;       10088.014;         860.866 ( 8.534 %);    170.164
       IKJ;           9.375;           0.009;           0.000;         20;         31;       23840.839;       31643.613;       26451.198;        1808.427 ( 6.837 %);    115.373
       IKJ;          14.648;           0.014;           0.000;         25;         31;       53060.774;       60363.516;       55569.101;        1519.218 ( 2.734 %);     85.810
       IKJ;          21.094;           0.021;           0.000;         30;         31;       88713.484;       94990.065;       94008.079;        1257.370 ( 1.338 %);     73.041
       IKJ;          28.711;           0.028;           0.000;         35;         31;      144249.290;      155120.194;      147621.620;        2013.848 ( 1.364 %);     63.311
       IKJ;          37.500;           0.037;           0.000;         40;         31;      216499.387;      237489.419;      224312.256;        4408.234 ( 1.965 %);     54.420
       IKJ;          47.461;           0.046;           0.000;         45;         31;      304273.419;      314717.968;      309387.760;        2344.442 ( 0.758 %);     49.936
       IKJ;          58.594;           0.057;           0.000;         50;         31;      414594.290;      430270.065;      422680.840;        3392.242 ( 0.803 %);     45.125
       IKJ;          70.898;           0.069;           0.000;         55;         31;      550358.516;      581621.290;      559685.498;        5517.242 ( 0.986 %);     41.236
       IKJ;          84.375;           0.082;           0.000;         60;         31;      715316.452;      743341.548;      728058.702;        7234.248 ( 0.994 %);     37.725
       IKJ;          99.023;           0.097;           0.000;         65;         31;      910732.032;      960646.645;      919239.473;        8239.619 ( 0.896 %);     35.066
       IKJ;         114.844;           0.112;           0.000;         70;         31;     1129276.839;     1187073.774;     1142744.227;        9341.146 ( 0.817 %);     32.714
