     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.586;           0.001;           0.000;          5;         31;         328.839;         837.258;         350.101;          87.591 (25.019 %);    544.800
   UNROLL4;           2.344;           0.002;           0.000;         10;         31;        2244.387;        3488.645;        2454.276;         314.117 (12.799 %);    310.861
   UNROLL4;           5.273;           0.005;           0.000;         15;         31;        7715.452;       10686.161;        8155.184;         651.016 ( 7.983 %);    210.494
   UNROLL4;           9.375;           0.009;           0.000;         20;         31;       17346.516;       17675.452;       17505.519;         107.502 ( 0.614 %);    174.331
   UNROLL4;          14.648;           0.014;           0.000;         25;         31;       33198.323;       44249.839;       34367.210;        2202.090 ( 6.408 %);    138.748
   UNROLL4;          21.094;           0.021;           0.000;         30;         31;       57006.226;       59889.097;       57861.944;         816.496 ( 1.411 %);    118.670
   UNROLL4;          28.711;           0.028;           0.000;         35;         31;       89455.935;      107360.710;       92955.505;        2917.232 ( 3.138 %);    100.543
   UNROLL4;          37.500;           0.037;           0.000;         40;         31;      141335.968;      147197.677;      145772.698;        1331.934 ( 0.914 %);     83.740
   UNROLL4;          47.461;           0.046;           0.000;         45;         31;      194317.581;      207260.581;      202446.767;        2733.478 ( 1.350 %);     76.314
   UNROLL4;          58.594;           0.057;           0.000;         50;         31;      272058.774;      293636.065;      277195.066;        4117.570 ( 1.485 %);     68.809
   UNROLL4;          70.898;           0.069;           0.000;         55;         31;      362281.645;      381245.065;      369930.697;        4168.448 ( 1.127 %);     62.387
   UNROLL4;          84.375;           0.082;           0.000;         60;         31;      480549.742;      512077.774;      496642.129;        7347.046 ( 1.479 %);     55.303
   UNROLL4;          99.023;           0.097;           0.000;         65;         31;      625842.161;      658514.710;      638696.647;        8011.920 ( 1.254 %);     50.469
   UNROLL4;         114.844;           0.112;           0.000;         70;         31;      779476.484;      823827.548;      798880.696;        6788.411 ( 0.850 %);     46.796
