     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;          92.613;         101.323;          93.205;           1.468 ( 1.575 %);   2046.396
       IJK;           2.344;           0.002;           0.000;         10;         31;         496.548;        1635.806;         657.792;         290.693 (44.192 %);   1159.849
       IJK;           5.273;           0.005;           0.000;         15;         31;        1776.032;        2562.548;        1875.884;         199.468 (10.633 %);    915.096
       IJK;           9.375;           0.009;           0.000;         20;         31;        4129.645;        6269.323;        4459.958;         599.130 (13.434 %);    684.257
       IJK;          14.648;           0.014;           0.000;         25;         31;        8407.677;       13007.484;        8992.159;        1046.125 (11.634 %);    530.281
       IJK;          21.094;           0.021;           0.000;         30;         31;       15049.742;       20180.645;       16142.311;        1618.863 (10.029 %);    425.370
       IJK;          28.711;           0.028;           0.000;         35;         31;       24585.355;       31780.871;       26664.836;        2313.132 ( 8.675 %);    350.499
       IJK;          37.500;           0.037;           0.000;         40;         31;       38307.387;       46302.419;       41455.724;        2861.424 ( 6.902 %);    294.459
       IJK;          47.461;           0.046;           0.000;         45;         31;       58778.710;       88421.032;       64741.738;        5842.174 ( 9.024 %);    238.633
       IJK;          58.594;           0.057;           0.000;         50;         31;       83283.935;       97181.452;       88629.117;        3744.140 ( 4.225 %);    215.206
       IJK;          70.898;           0.069;           0.000;         55;         31;      113513.161;      126520.290;      118535.528;        3514.918 ( 2.965 %);    194.700
       IJK;          84.375;           0.082;           0.000;         60;         31;      148224.968;      166378.355;      156938.503;        4237.085 ( 2.700 %);    175.010
       IJK;          99.023;           0.097;           0.000;         65;         31;      190690.355;      213613.742;      200065.253;        5312.115 ( 2.655 %);    161.118
       IJK;         114.844;           0.112;           0.000;         70;         31;      266228.355;      290695.065;      274491.584;        6783.662 ( 2.471 %);    136.194
