     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.586;           0.001;           0.000;          5;         31;         105.484;         226.548;         109.660;          20.988 (19.139 %);   1739.332
     CBLAS;           2.344;           0.002;           0.000;         10;         31;         612.677;         789.065;         654.876;          25.052 ( 3.825 %);   1165.014
     CBLAS;           5.273;           0.005;           0.000;         15;         31;        2114.613;        3196.419;        2321.013;         316.803 (13.649 %);    739.597
     CBLAS;           9.375;           0.009;           0.000;         20;         31;        4821.484;        7594.258;        5244.740;         617.588 (11.775 %);    581.870
     CBLAS;          14.648;           0.014;           0.000;         25;         31;        9259.484;       11096.419;        9529.979;         508.134 ( 5.332 %);    500.355
     CBLAS;          21.094;           0.021;           0.000;         30;         31;       18799.677;       25225.161;       22165.453;        2170.785 ( 9.794 %);    309.782
     CBLAS;          28.711;           0.028;           0.000;         35;         31;       25460.613;       38564.742;       26680.978;        2553.435 ( 9.570 %);    350.287
     CBLAS;          37.500;           0.037;           0.000;         40;         31;       50608.613;       57945.000;       52814.415;        1781.092 ( 3.372 %);    231.131
     CBLAS;          47.461;           0.046;           0.000;         45;         31;       67526.258;       76415.903;       70363.234;        2056.233 ( 2.922 %);    219.568
     CBLAS;          58.594;           0.057;           0.000;         50;         31;       87619.419;       99013.484;       91321.818;        2350.766 ( 2.574 %);    208.860
     CBLAS;          70.898;           0.069;           0.000;         55;         31;      117635.000;      127093.742;      119094.395;        2571.605 ( 2.159 %);    193.787
     CBLAS;          84.375;           0.082;           0.000;         60;         31;      155167.548;      169331.613;      158498.263;        2876.649 ( 1.815 %);    173.288
     CBLAS;          99.023;           0.097;           0.000;         65;         31;      184193.355;      202813.387;      188803.313;        3404.082 ( 1.803 %);    170.729
     CBLAS;         114.844;           0.112;           0.000;         70;         31;      228997.032;      248625.000;      231560.849;        4176.209 ( 1.804 %);    161.444
