     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IEX;           0.586;           0.001;           0.000;          5;         31;          46.387;          54.484;          46.926;           1.406 ( 2.995 %);   4064.613
       IEX;           2.344;           0.002;           0.000;         10;         31;         277.581;         859.387;         299.948;         100.952 (33.657 %);   2543.571
       IEX;           5.273;           0.005;           0.000;         15;         31;         747.742;         795.742;         749.953;           8.300 ( 1.107 %);   2288.962
       IEX;           9.375;           0.009;           0.000;         20;         31;        1496.452;        2611.419;        1697.817;         324.073 (19.088 %);   1797.460
       IEX;          14.648;           0.014;           0.000;         25;         31;        2917.710;        4641.806;        3086.175;         348.318 (11.286 %);   1545.075
       IEX;          21.094;           0.021;           0.000;         30;         31;        5543.226;        7271.742;        5990.166;         342.690 ( 5.721 %);   1146.288
       IEX;          28.711;           0.028;           0.000;         35;         31;        8797.742;       10622.161;        9390.408;         464.932 ( 4.951 %);    995.272
       IEX;          37.500;           0.037;           0.000;         40;         31;       13691.581;       15253.710;       14120.110;         416.917 ( 2.953 %);    864.514
       IEX;          47.461;           0.046;           0.000;         45;         31;       24535.548;       25569.516;       24938.763;         313.488 ( 1.257 %);    619.498
       IEX;          58.594;           0.057;           0.000;         50;         31;       34323.226;       35809.032;       34757.630;         552.555 ( 1.590 %);    548.757
       IEX;          70.898;           0.069;           0.000;         55;         31;       39235.806;       44488.613;       41153.915;        1239.675 ( 3.012 %);    560.795
       IEX;          84.375;           0.082;           0.000;         60;         31;       55172.774;       57867.323;       55739.123;         889.633 ( 1.596 %);    492.757
       IEX;          99.023;           0.097;           0.000;         65;         31;       66631.323;       69588.742;       68127.264;        1050.543 ( 1.542 %);    473.147
       IEX;         114.844;           0.112;           0.000;         70;         31;       83078.806;       98109.871;       85455.991;        2711.246 ( 3.173 %);    437.465
