     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IKJ;           0.586;           0.001;           0.000;          5;         31;          49.226;          57.839;          49.670;           1.480 ( 2.980 %);   3840.073
       IKJ;           2.344;           0.002;           0.000;         10;         31;         284.839;        1070.613;         336.457;         133.010 (39.533 %);   2267.572
       IKJ;           5.273;           0.005;           0.000;         15;         31;         831.935;        1618.065;         972.707;         179.024 (18.405 %);   1764.780
       IKJ;           9.375;           0.009;           0.000;         20;         31;        1936.000;        2144.258;        1947.097;          35.588 ( 1.828 %);   1567.338
       IKJ;          14.648;           0.014;           0.000;         25;         31;        3614.968;        5111.290;        4110.035;         543.844 (13.232 %);   1160.178
       IKJ;          21.094;           0.021;           0.000;         30;         31;        6478.581;        9027.387;        7282.319;         720.880 ( 9.899 %);    942.894
       IKJ;          28.711;           0.028;           0.000;         35;         31;       10109.903;       13441.645;       11232.561;         838.335 ( 7.463 %);    832.046
       IKJ;          37.500;           0.037;           0.000;         40;         31;       15128.935;       19059.484;       16908.961;         881.164 ( 5.211 %);    721.927
       IKJ;          47.461;           0.046;           0.000;         45;         31;       16478.290;       25640.516;       22398.023;        3208.711 (14.326 %);    689.772
       IKJ;          58.594;           0.057;           0.000;         50;         31;       31530.516;       41068.000;       36745.848;        2884.760 ( 7.851 %);    519.065
       IKJ;          70.898;           0.069;           0.000;         55;         31;       34432.871;       53058.323;       47662.940;        5792.953 (12.154 %);    484.211
       IKJ;          84.375;           0.082;           0.000;         60;         31;       51860.387;       66288.065;       59610.840;        4610.365 ( 7.734 %);    460.752
       IKJ;          99.023;           0.097;           0.000;         65;         31;       58719.194;       81141.387;       73168.637;        6020.819 ( 8.229 %);    440.547
       IKJ;         114.844;           0.112;           0.000;         70;         31;       78068.968;       99903.677;       92218.108;        5696.219 ( 6.177 %);    405.387
