     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.586;           0.001;           0.000;          5;         31;          71.968;          79.806;          72.803;           1.351 ( 1.856 %);   2619.893
   UNROLL4;           2.344;           0.002;           0.000;         10;         31;         363.290;         894.290;         381.234;          92.305 (24.212 %);   2001.239
   UNROLL4;           5.273;           0.005;           0.000;         15;         31;        1039.581;        1246.161;        1046.852;          35.823 ( 3.422 %);   1639.786
   UNROLL4;           9.375;           0.009;           0.000;         20;         31;        2043.742;        3518.355;        2378.475;         441.386 (18.558 %);   1283.073
   UNROLL4;          14.648;           0.014;           0.000;         25;         31;        4645.968;        6112.774;        4956.479;         304.925 ( 6.152 %);    962.048
   UNROLL4;          21.094;           0.021;           0.000;         30;         31;        7884.258;        9236.935;        8524.009;         351.749 ( 4.127 %);    805.543
   UNROLL4;          28.711;           0.028;           0.000;         35;         31;       14246.774;       14728.548;       14392.547;         100.257 ( 0.697 %);    649.364
   UNROLL4;          37.500;           0.037;           0.000;         40;         31;       18093.677;       20041.613;       18985.186;         535.989 ( 2.823 %);    642.977
   UNROLL4;          47.461;           0.046;           0.000;         45;         31;       26259.290;       28642.032;       27672.538;         748.478 ( 2.705 %);    558.298
   UNROLL4;          58.594;           0.057;           0.000;         50;         31;       35010.613;       38652.194;       37317.371;        1168.267 ( 3.131 %);    511.115
   UNROLL4;          70.898;           0.069;           0.000;         55;         31;       48858.452;       52550.742;       50808.580;         966.986 ( 1.903 %);    454.233
   UNROLL4;          84.375;           0.082;           0.000;         60;         31;       57931.935;       63416.548;       61125.960;        1430.113 ( 2.340 %);    449.332
   UNROLL4;          99.023;           0.097;           0.000;         65;         31;       75456.097;       81839.710;       79849.654;        2006.070 ( 2.512 %);    403.686
   UNROLL4;         114.844;           0.112;           0.000;         70;         31;       95596.806;      101483.419;       99420.632;        1720.136 ( 1.730 %);    376.019
