     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.586;           0.001;           0.000;          5;         31;         105.968;         227.645;         110.413;          21.052 (19.067 %);   1727.460
     CBLAS;           2.344;           0.002;           0.000;         10;         31;         635.871;        1235.613;         728.104;         159.690 (21.932 %);   1047.845
     CBLAS;           5.273;           0.005;           0.000;         15;         31;        2133.355;        5494.742;        2440.709;         625.558 (25.630 %);    703.326
     CBLAS;           9.375;           0.009;           0.000;         20;         31;        4964.645;        6908.323;        5175.789;         468.064 ( 9.043 %);    589.622
     CBLAS;          14.648;           0.014;           0.000;         25;         31;        8973.774;       13371.129;        9584.768;         844.487 ( 8.811 %);    497.495
     CBLAS;          21.094;           0.021;           0.000;         30;         31;       18783.710;       24611.484;       19462.861;        1486.507 ( 7.638 %);    352.798
     CBLAS;          28.711;           0.028;           0.000;         35;         31;       25506.548;       32317.194;       27495.142;        2311.905 ( 8.408 %);    339.915
     CBLAS;          37.500;           0.037;           0.000;         40;         31;       51993.355;       58227.387;       53276.058;        1573.850 ( 2.954 %);    229.128
     CBLAS;          47.461;           0.046;           0.000;         45;         31;       69371.742;       74582.903;       70560.106;        1747.922 ( 2.477 %);    218.956
     CBLAS;          58.594;           0.057;           0.000;         50;         31;       89905.290;      101235.935;       92260.840;        2814.263 ( 3.050 %);    206.734
     CBLAS;          70.898;           0.069;           0.000;         55;         31;      117600.645;      129947.935;      119605.524;        2748.255 ( 2.298 %);    192.959
     CBLAS;          84.375;           0.082;           0.000;         60;         31;      154746.290;      170669.194;      160440.014;        3396.536 ( 2.117 %);    171.191
     CBLAS;          99.023;           0.097;           0.000;         65;         31;      186226.226;      207810.581;      190998.207;        4554.859 ( 2.385 %);    168.767
     CBLAS;         114.844;           0.112;           0.000;         70;         31;      228780.226;      252427.645;      235077.543;        5163.361 ( 2.196 %);    159.029
