     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IEX;           0.586;           0.001;           0.000;          5;         31;          47.677;         565.968;          64.996;          89.955 (138.401 %);   2934.559
       IEX;           2.344;           0.002;           0.000;         10;         31;         266.806;         272.871;         271.950;           1.024 ( 0.377 %);   2805.439
       IEX;           5.273;           0.005;           0.000;         15;         31;         827.774;        2162.355;        1022.793;         291.955 (28.545 %);   1678.359
       IEX;           9.375;           0.009;           0.000;         20;         31;        1935.645;        3092.290;        2114.728;         306.738 (14.505 %);   1443.097
       IEX;          14.648;           0.014;           0.000;         25;         31;        3712.581;        5791.710;        4031.042;         533.928 (13.245 %);   1182.913
       IEX;          21.094;           0.021;           0.000;         30;         31;        7522.258;       22578.903;        8231.166;        2610.939 (31.720 %);    834.202
       IEX;          28.711;           0.028;           0.000;         35;         31;        9077.161;       12380.484;       11587.923;        1218.608 (10.516 %);    806.530
       IEX;          37.500;           0.037;           0.000;         40;         31;       14410.161;       19440.258;       18377.567;        1030.721 ( 5.609 %);    664.235
       IEX;          47.461;           0.046;           0.000;         45;         31;       20189.290;       27587.710;       25983.228;        1216.928 ( 4.684 %);    594.596
       IEX;          58.594;           0.057;           0.000;         50;         31;       39726.548;       44791.548;       41503.741;        1616.008 ( 3.894 %);    459.561
       IEX;          70.898;           0.069;           0.000;         55;         31;       38754.613;       55980.903;       49585.854;        5364.521 (10.819 %);    465.434
       IEX;          84.375;           0.082;           0.000;         60;         31;       55620.258;       71794.548;       64153.639;        3656.998 ( 5.700 %);    428.126
       IEX;          99.023;           0.097;           0.000;         65;         31;       68495.387;       82491.387;       78911.909;        2811.731 ( 3.563 %);    408.483
       IEX;         114.844;           0.112;           0.000;         70;         31;       83709.452;      100406.613;       94851.204;        5488.645 ( 5.787 %);    394.133
