     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;          66.097;          74.484;          66.756;           1.423 ( 2.131 %);   2857.211
       IJK;           2.344;           0.002;           0.000;         10;         31;         441.452;         455.613;         442.904;           2.366 ( 0.534 %);   1722.583
       IJK;           5.273;           0.005;           0.000;         15;         31;        1340.065;        1892.484;        1362.370;          97.218 ( 7.136 %);   1260.021
       IJK;           9.375;           0.009;           0.000;         20;         31;        2757.742;        4168.032;        2917.020;         337.705 (11.577 %);   1046.190
       IJK;          14.648;           0.014;           0.000;         25;         31;        5370.161;        8202.387;        5709.274;         663.217 (11.616 %);    835.198
       IJK;          21.094;           0.021;           0.000;         30;         31;        8806.387;       12255.419;        9509.485;         924.444 ( 9.721 %);    722.064
       IJK;          28.711;           0.028;           0.000;         35;         31;       14455.355;       19574.097;       15496.391;        1238.366 ( 7.991 %);    603.109
       IJK;          37.500;           0.037;           0.000;         40;         31;       21030.645;       27372.903;       23342.557;        1707.598 ( 7.315 %);    522.952
       IJK;          47.461;           0.046;           0.000;         45;         31;       31303.355;       39035.968;       35156.518;        2309.401 ( 6.569 %);    439.450
       IJK;          58.594;           0.057;           0.000;         50;         31;       42307.806;       51118.000;       48277.940;        2662.327 ( 5.515 %);    395.077
       IJK;          70.898;           0.069;           0.000;         55;         31;       57716.516;       71889.355;       66845.543;        3625.476 ( 5.424 %);    345.257
       IJK;          84.375;           0.082;           0.000;         60;         31;       75645.935;       90953.065;       86396.396;        4173.588 ( 4.831 %);    317.905
       IJK;          99.023;           0.097;           0.000;         65;         31;      105299.226;      121307.613;      116254.029;        4701.515 ( 4.044 %);    277.274
       IJK;         114.844;           0.112;           0.000;         70;         31;      130771.419;      150580.677;      145547.407;        5185.539 ( 3.563 %);    256.851
