     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IKJ;           0.586;           0.001;           0.000;          5;         31;          47.613;          60.452;          48.356;           2.200 ( 4.549 %);   3944.404
       IKJ;           2.344;           0.002;           0.000;         10;         31;         239.871;         267.000;         250.630;           6.400 ( 2.554 %);   3044.081
       IKJ;           5.273;           0.005;           0.000;         15;         31;         681.387;         911.516;         690.577;          40.122 ( 5.810 %);   2485.768
       IKJ;           9.375;           0.009;           0.000;         20;         31;        1446.000;        1589.645;        1456.376;          33.172 ( 2.278 %);   2095.446
       IKJ;          14.648;           0.014;           0.000;         25;         31;        2818.194;        4295.000;        3037.578;         388.724 (12.797 %);   1569.794
       IKJ;          21.094;           0.021;           0.000;         30;         31;        4853.258;        7991.290;        5517.014;         699.324 (12.676 %);   1244.596
       IKJ;          28.711;           0.028;           0.000;         35;         31;        7911.194;       10150.548;        8926.013;         607.577 ( 6.807 %);   1047.053
       IKJ;          37.500;           0.037;           0.000;         40;         31;       12616.065;       15206.774;       13655.301;         724.615 ( 5.306 %);    893.941
       IKJ;          47.461;           0.046;           0.000;         45;         31;       18166.581;       19943.323;       18980.024;         547.222 ( 2.883 %);    813.989
       IKJ;          58.594;           0.057;           0.000;         50;         31;       24165.000;       28610.129;       26148.360;        1089.038 ( 4.165 %);    729.433
       IKJ;          70.898;           0.069;           0.000;         55;         31;       32911.290;       37924.677;       35078.007;        1187.714 ( 3.386 %);    657.931
       IKJ;          84.375;           0.082;           0.000;         60;         31;       40339.194;       60498.839;       44531.499;        3351.196 ( 7.525 %);    616.773
       IKJ;          99.023;           0.097;           0.000;         65;         31;       64844.871;       76191.710;       68860.914;        3800.683 ( 5.519 %);    468.106
       IKJ;         114.844;           0.112;           0.000;         70;         31;       86606.000;       93961.742;       90980.047;        2119.332 ( 2.329 %);    410.904
