     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.586;           0.001;           0.000;          5;         31;          71.742;          76.806;          72.653;           0.888 ( 1.222 %);   2625.286
   UNROLL4;           2.344;           0.002;           0.000;         10;         31;         363.129;        1373.290;         430.608;         208.034 (48.312 %);   1771.773
   UNROLL4;           5.273;           0.005;           0.000;         15;         31;        1049.323;        1606.032;        1088.544;         133.103 (12.228 %);   1576.981
   UNROLL4;           9.375;           0.009;           0.000;         20;         31;        1936.484;        3331.323;        2177.480;         359.853 (16.526 %);   1401.509
   UNROLL4;          14.648;           0.014;           0.000;         25;         31;        4382.613;        6582.613;        4720.621;         480.175 (10.172 %);   1010.115
   UNROLL4;          21.094;           0.021;           0.000;         30;         31;        8175.290;       13875.484;        8671.259;        1018.497 (11.746 %);    791.864
   UNROLL4;          28.711;           0.028;           0.000;         35;         31;       13888.774;       14583.000;       14107.149;         253.522 ( 1.797 %);    662.502
   UNROLL4;          37.500;           0.037;           0.000;         40;         31;       18082.065;       19305.484;       18371.323;         352.602 ( 1.919 %);    664.461
   UNROLL4;          47.461;           0.046;           0.000;         45;         31;       26818.065;       28134.290;       27379.051;         510.412 ( 1.864 %);    564.283
   UNROLL4;          58.594;           0.057;           0.000;         50;         31;       34452.645;       38647.097;       37088.287;        1207.573 ( 3.256 %);    514.273
   UNROLL4;          70.898;           0.069;           0.000;         55;         31;       48084.516;       52258.742;       50537.311;        1071.764 ( 2.121 %);    456.671
   UNROLL4;          84.375;           0.082;           0.000;         60;         31;       57175.323;       61910.290;       60368.139;        1351.198 ( 2.238 %);    454.972
   UNROLL4;          99.023;           0.097;           0.000;         65;         31;       75542.903;       80418.161;       79294.314;        1128.405 ( 1.423 %);    406.513
   UNROLL4;         114.844;           0.112;           0.000;         70;         31;       97233.290;      101654.710;      100327.240;        1281.315 ( 1.277 %);    372.621
