     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.586;           0.001;           0.000;          5;         31;         106.677;         244.065;         111.905;          23.731 (21.207 %);   1704.433
     CBLAS;           2.344;           0.002;           0.000;         10;         31;         650.419;         791.613;         655.577;          24.426 ( 3.726 %);   1163.768
     CBLAS;           5.273;           0.005;           0.000;         15;         31;        2136.548;        3280.452;        2306.609;         346.894 (15.039 %);    744.215
     CBLAS;           9.375;           0.009;           0.000;         20;         31;        4792.355;        7060.806;        4955.862;         451.563 ( 9.112 %);    615.787
     CBLAS;          14.648;           0.014;           0.000;         25;         31;        7965.290;        9968.613;        8384.797;         546.791 ( 6.521 %);    568.693
     CBLAS;          21.094;           0.021;           0.000;         30;         31;       15665.065;       21267.516;       17971.373;        2133.763 (11.873 %);    382.077
     CBLAS;          28.711;           0.028;           0.000;         35;         31;       20533.548;       24233.258;       21946.641;         832.723 ( 3.794 %);    425.851
     CBLAS;          37.500;           0.037;           0.000;         40;         31;       44561.290;       55109.000;       47968.095;        2939.929 ( 6.129 %);    254.482
     CBLAS;          47.461;           0.046;           0.000;         45;         31;       59521.903;       70418.452;       64689.402;        2812.008 ( 4.347 %);    238.826
     CBLAS;          58.594;           0.057;           0.000;         50;         31;       79589.258;       90469.065;       83726.727;        3821.074 ( 4.564 %);    227.806
     CBLAS;          70.898;           0.069;           0.000;         55;         31;      104257.968;      117007.290;      109331.356;        3302.125 ( 3.020 %);    211.091
     CBLAS;          84.375;           0.082;           0.000;         60;         31;      145302.226;      163056.710;      150012.729;        3974.276 ( 2.649 %);    183.090
     CBLAS;          99.023;           0.097;           0.000;         65;         31;      175227.903;      191280.194;      178677.483;        3142.475 ( 1.759 %);    180.404
     CBLAS;         114.844;           0.112;           0.000;         70;         31;      221687.581;      226091.613;      223102.312;        1361.021 ( 0.610 %);    167.565
