     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IEX;           0.586;           0.001;           0.000;          5;         31;         440.452;        1330.548;         526.498;         190.095 (36.106 %);    362.271
       IEX;           2.344;           0.002;           0.000;         10;         31;        3148.903;        4213.968;        3383.524;         263.239 ( 7.780 %);    225.487
       IEX;           5.273;           0.005;           0.000;         15;         31;        9583.903;       12617.129;       10014.223;         754.645 ( 7.536 %);    171.418
       IEX;           9.375;           0.009;           0.000;         20;         31;       24642.548;       30112.935;       25886.630;        1732.452 ( 6.692 %);    117.889
       IEX;          14.648;           0.014;           0.000;         25;         31;       46828.226;       54731.129;       47424.315;        1467.544 ( 3.094 %);    100.547
       IEX;          21.094;           0.021;           0.000;         30;         31;       79860.710;      101030.548;       82797.268;        4837.570 ( 5.843 %);     82.931
       IEX;          28.711;           0.028;           0.000;         35;         31;      124943.226;      142018.355;      130351.320;        3558.082 ( 2.730 %);     71.699
       IEX;          37.500;           0.037;           0.000;         40;         31;      184664.484;      199470.484;      192022.410;        3967.864 ( 2.066 %);     63.571
       IEX;          47.461;           0.046;           0.000;         45;         31;      267935.645;      296011.290;      273758.107;        5202.777 ( 1.901 %);     56.435
       IEX;          58.594;           0.057;           0.000;         50;         31;      356370.194;      388610.290;      374152.808;       10494.537 ( 2.805 %);     50.978
       IEX;          70.898;           0.069;           0.000;         55;         31;      486110.839;      525082.419;      505837.313;       13852.744 ( 2.739 %);     45.625
       IEX;          84.375;           0.082;           0.000;         60;         31;      658754.742;      697365.129;      674685.050;        9705.874 ( 1.439 %);     40.709
       IEX;          99.023;           0.097;           0.000;         65;         31;      820732.613;      871471.839;      845955.203;       13925.572 ( 1.646 %);     38.104
       IEX;         114.844;           0.112;           0.000;         70;         31;     1036307.097;     1080188.097;     1053367.251;       10779.721 ( 1.023 %);     35.490
