     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           0.586;           0.001;           0.000;          5;         31;         571.839;         573.871;         573.010;           0.493 ( 0.086 %);    332.865
       IJK;           2.344;           0.002;           0.000;         10;         31;        3916.581;        5976.323;        4163.970;         362.970 ( 8.717 %);    183.224
       IJK;           5.273;           0.005;           0.000;         15;         31;       13164.355;       17064.355;       13914.990;        1236.864 ( 8.889 %);    123.364
       IJK;           9.375;           0.009;           0.000;         20;         31;       30009.129;       38943.323;       32108.572;        2680.077 ( 8.347 %);     95.045
       IJK;          14.648;           0.014;           0.000;         25;         31;       57574.097;       65265.065;       60814.531;        2499.969 ( 4.111 %);     78.408
       IJK;          21.094;           0.021;           0.000;         30;         31;       97865.710;      106907.032;      102373.914;        2453.883 ( 2.397 %);     67.072
       IJK;          28.711;           0.028;           0.000;         35;         31;      153879.355;      168357.839;      159258.889;        4652.151 ( 2.921 %);     58.684
       IJK;          37.500;           0.037;           0.000;         40;         31;      228012.774;      258926.742;      237096.748;        7064.391 ( 2.980 %);     51.485
       IJK;          47.461;           0.046;           0.000;         45;         31;      322952.032;      343522.226;      335537.036;        4462.438 ( 1.330 %);     46.044
       IJK;          58.594;           0.057;           0.000;         50;         31;      441904.548;      489977.613;      464126.637;        8207.270 ( 1.768 %);     41.095
       IJK;          70.898;           0.069;           0.000;         55;         31;      590908.032;      642407.581;      613891.575;       12559.934 ( 2.046 %);     37.594
       IJK;          84.375;           0.082;           0.000;         60;         31;      775433.903;      821344.935;      805361.695;       11652.161 ( 1.447 %);     34.104
       IJK;          99.023;           0.097;           0.000;         65;         31;     1010608.065;     1054035.645;     1029291.123;       13036.803 ( 1.267 %);     31.317
       IJK;         114.844;           0.112;           0.000;         70;         31;     1283776.710;     1345222.000;     1310072.114;       13445.886 ( 1.026 %);     28.536
