     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IKJ;           0.586;           0.001;           0.000;          5;         31;         517.387;        2066.387;         605.772;         267.424 (44.146 %);    314.862
       IKJ;           2.344;           0.002;           0.000;         10;         31;        3915.194;        6942.194;        4567.982;         591.206 (12.942 %);    167.019
       IKJ;           5.273;           0.005;           0.000;         15;         31;       11188.839;       15572.419;       12102.381;        1270.552 (10.498 %);    141.841
       IKJ;           9.375;           0.009;           0.000;         20;         31;       28496.290;       34381.839;       30085.076;        1977.755 ( 6.574 %);    101.438
       IKJ;          14.648;           0.014;           0.000;         25;         31;       54128.097;       60449.903;       55721.066;        2026.687 ( 3.637 %);     85.576
       IKJ;          21.094;           0.021;           0.000;         30;         31;       92026.839;      102616.484;       94539.214;        3905.072 ( 4.131 %);     72.631
       IKJ;          28.711;           0.028;           0.000;         35;         31;      144432.452;      156266.387;      149804.678;        3172.703 ( 2.118 %);     62.388
       IKJ;          37.500;           0.037;           0.000;         40;         31;      213408.194;      230609.871;      222842.063;        4468.496 ( 2.005 %);     54.779
       IKJ;          47.461;           0.046;           0.000;         45;         31;      311506.581;      324830.452;      317878.398;        3511.222 ( 1.105 %);     48.602
       IKJ;          58.594;           0.057;           0.000;         50;         31;      415284.613;      451249.323;      434962.600;       11315.743 ( 2.602 %);     43.851
       IKJ;          70.898;           0.069;           0.000;         55;         31;      565091.226;      623487.742;      582473.006;       15329.724 ( 2.632 %);     39.622
       IKJ;          84.375;           0.082;           0.000;         60;         31;      765355.839;      820510.774;      788618.198;       14742.883 ( 1.869 %);     34.828
       IKJ;          99.023;           0.097;           0.000;         65;         31;      960068.194;     1012286.710;      986308.304;       11855.150 ( 1.202 %);     32.682
       IKJ;         114.844;           0.112;           0.000;         70;         31;     1214252.258;     1251254.323;     1221731.124;        7268.882 ( 0.595 %);     30.599
