     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.586;           0.001;           0.000;          5;         31;         452.419;         456.516;         453.500;           0.737 ( 0.162 %);    420.584
   UNROLL8;           2.344;           0.002;           0.000;         10;         31;        3363.258;        5506.903;        3569.247;         491.670 (13.775 %);    213.754
   UNROLL8;           5.273;           0.005;           0.000;         15;         31;        8857.226;       12132.903;        9447.769;         893.179 ( 9.454 %);    181.695
   UNROLL8;           9.375;           0.009;           0.000;         20;         31;       19935.419;       25183.194;       20826.433;         875.242 ( 4.203 %);    146.533
   UNROLL8;          14.648;           0.014;           0.000;         25;         31;       36869.677;       44386.839;       40332.045;        1651.885 ( 4.096 %);    118.228
   UNROLL8;          21.094;           0.021;           0.000;         30;         31;       64503.258;       75781.419;       67606.577;        2707.682 ( 4.005 %);    101.565
   UNROLL8;          28.711;           0.028;           0.000;         35;         31;       99962.677;      113420.742;      105735.066;        3772.609 ( 3.568 %);     88.391
   UNROLL8;          37.500;           0.037;           0.000;         40;         31;      145757.774;      175280.871;      154187.193;        6506.327 ( 4.220 %);     79.170
   UNROLL8;          47.461;           0.046;           0.000;         45;         31;      214918.290;      237335.290;      226176.511;        6530.104 ( 2.887 %);     68.307
   UNROLL8;          58.594;           0.057;           0.000;         50;         31;      297298.548;      322348.419;      307132.026;        6818.773 ( 2.220 %);     62.102
   UNROLL8;          70.898;           0.069;           0.000;         55;         31;      413940.097;      450335.710;      429061.935;        8102.339 ( 1.888 %);     53.789
   UNROLL8;          84.375;           0.082;           0.000;         60;         31;      554361.839;      605203.677;      563697.672;        8331.580 ( 1.478 %);     48.724
   UNROLL8;          99.023;           0.097;           0.000;         65;         31;      691145.129;      704290.516;      698207.652;        2746.235 ( 0.393 %);     46.167
   UNROLL8;         114.844;           0.112;           0.000;         70;         31;      878008.387;      925076.065;      893475.655;        7282.663 ( 0.815 %);     41.841
