     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           3.441;           2.000;           4.065;           2.178;           0.406 (18.622 %);   3503.084
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;           7.881;           2.677;           5.645;           2.890;           0.505 (17.463 %);   5280.697
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;          85.101;           4.290;           6.742;           4.598;           0.419 ( 9.110 %);   6636.795
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;         147.598;           4.581;           6.000;           4.674;           0.264 ( 5.639 %);  13059.813
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;         227.570;           6.194;           8.290;           6.312;           0.370 ( 5.870 %);  19339.930
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;        2362.553;          11.516;          13.419;          11.697;           0.323 ( 2.758 %);  20872.126
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;        7397.484;          22.290;         219.581;          29.092;          34.324 (117.985 %);  16784.104
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;        9791.207;          51.097;          53.677;          51.688;           0.447 ( 0.865 %);  18893.346
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;        9285.700;          91.097;          92.742;          91.821;           0.379 ( 0.413 %);  21270.979
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;       12695.805;         187.581;         190.387;         188.408;           0.536 ( 0.285 %);  20732.972
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;       39802.346;         347.839;         350.677;         349.271;           0.841 ( 0.241 %);  22368.033
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;      484481.346;         690.968;        1504.355;         777.463;         182.743 (23.505 %);  20097.411
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;      306191.193;        1755.290;        1763.387;        1759.969;           1.841 ( 0.105 %);  17755.997
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;      671504.253;        3500.968;        6152.742;        3784.492;         611.046 (16.146 %);  16514.767
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;     1228474.089;        7463.613;        9581.645;        7770.507;         602.743 ( 7.757 %);  16086.466
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;     4642299.100;       16638.677;       17841.258;       16734.717;         255.126 ( 1.525 %);  14939.003
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;     5765721.581;       32550.613;       35303.032;       33698.371;         953.609 ( 2.830 %);  14837.512
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;    12731471.487;       65049.548;       70126.161;       66615.608;        1279.175 ( 1.920 %);  15011.497
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;    63948669.934;      136898.516;      233634.129;      143037.196;       16342.493 (11.425 %);  13982.377
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;    78591244.402;      385523.903;      419935.613;      399293.942;        9131.833 ( 2.287 %);  10017.683
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;   149651291.899;      973817.742;     1127754.839;     1021678.946;       32198.578 ( 3.152 %);   7830.248
