     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           1.856;           2.161;           5.355;           2.329;           0.547 (23.462 %);   3275.229
      BASE;           0.031;           0.000;           0.000;          2;         31;          11.867;           2.516;           5.839;           2.669;           0.577 (21.609 %);   5717.854
      BASE;           0.062;           0.000;           0.000;          4;         31;          29.312;           2.677;           5.290;           2.821;           0.445 (15.782 %);  10817.561
      BASE;           0.125;           0.000;           0.000;          8;         31;          36.380;           4.000;           6.710;           4.176;           0.458 (10.960 %);  14615.863
      BASE;           0.250;           0.000;           0.000;         16;         31;         399.762;           9.452;          13.677;           9.690;           0.721 ( 7.445 %);  12597.390
      BASE;           0.500;           0.000;           0.000;         32;         31;        1212.644;          17.677;          19.548;          17.838;           0.310 ( 1.736 %);  13686.752
      BASE;           1.000;           0.001;           0.000;         64;         31;        2013.524;          44.161;          45.677;          44.425;           0.238 ( 0.535 %);  10991.082
      BASE;           2.000;           0.002;           0.000;        128;         31;        3443.851;         106.742;         117.387;         107.303;           1.816 ( 1.692 %);   9100.978
      BASE;           4.000;           0.004;           0.000;        256;         31;       18278.859;         249.032;         251.097;         249.560;           0.420 ( 0.168 %);   7826.271
      BASE;           8.000;           0.008;           0.000;        512;         31;       16251.624;         534.065;        1082.194;         590.474;         125.946 (21.330 %);   6615.447
      BASE;          16.000;           0.016;           0.000;       1024;         31;       29977.606;        1104.484;        2123.194;        1286.588;         295.275 (22.950 %);   6072.260
      BASE;          32.000;           0.031;           0.000;       2048;         31;      110126.778;        2244.516;        2934.419;        2298.236;         153.814 ( 6.693 %);   6798.694
      BASE;          64.000;           0.062;           0.000;       4096;         31;     1170538.723;        4527.548;        6723.645;        4853.034;         626.020 (12.900 %);   6439.270
      BASE;         128.000;           0.125;           0.000;       8192;         31;      642933.504;        9089.419;       12873.387;        9581.609;         883.381 ( 9.220 %);   6522.913
      BASE;         256.000;           0.250;           0.000;      16384;         31;     1444002.020;       18213.097;       39093.419;       20767.481;        4154.220 (20.003 %);   6019.026
      BASE;         512.000;           0.500;           0.000;      32768;         31;     6077678.314;       36456.871;       45659.129;       39288.115;        2426.848 ( 6.177 %);   6363.247
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     4916002.747;       72953.161;       86676.000;       79256.370;        3678.398 ( 4.641 %);   6308.641
      BASE;        2048.000;           2.000;           0.002;     131072;         31;    12298990.590;      145972.258;      164298.258;      154295.880;        5737.181 ( 3.718 %);   6481.054
      BASE;        4096.000;           4.000;           0.004;     262144;         31;   135046688.217;      295877.613;      351742.258;      309165.933;       11901.585 ( 3.850 %);   6469.018
      BASE;        8192.000;           8.000;           0.008;     524288;         31;    96232199.422;      629229.645;      749052.806;      652841.270;       22323.329 ( 3.419 %);   6127.064
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;   138421617.328;     1338670.613;     1437348.806;     1366422.323;       24120.269 ( 1.765 %);   5854.705
