     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           4.821;           6.774;          59.645;           8.505;           9.183 (107.973 %);    897.008
     CBLAS;           0.031;           0.000;           0.000;          2;         31;          84.072;           8.097;          72.839;          10.196;          11.248 (110.325 %);   1496.619
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          42.295;           8.194;          68.194;          10.148;          10.423 (102.714 %);   3007.368
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          54.542;           8.097;          71.161;          10.103;          10.962 (108.508 %);   6041.506
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         156.348;          13.290;          86.452;          15.684;          12.705 (81.004 %);   7782.981
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         870.334;          19.613;          80.323;          21.579;          10.546 (48.871 %);  11313.969
     CBLAS;           1.000;           0.001;           0.000;         64;         31;        4141.002;          45.355;         101.677;          47.308;           9.762 (20.635 %);  10321.343
     CBLAS;           2.000;           0.002;           0.000;        128;         31;        5387.649;          96.097;         653.677;         118.337;          96.947 (81.924 %);   8252.368
     CBLAS;           4.000;           0.004;           0.000;        256;         31;       12819.314;         240.226;         313.581;         242.981;          12.678 ( 5.218 %);   8038.166
     CBLAS;           8.000;           0.008;           0.000;        512;         31;       79008.898;         523.516;         581.968;         526.058;          10.048 ( 1.910 %);   7425.517
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;      104630.866;        1093.581;        1151.677;        1095.542;          10.078 ( 0.920 %);   7131.176
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;      132312.736;        2233.871;        3380.032;        2374.183;         305.051 (12.849 %);   6581.212
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;      705243.988;        4515.290;        5784.742;        4717.698;         373.347 ( 7.914 %);   6623.993
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;      756585.863;        9077.548;       15162.323;        9958.370;        1302.897 (13.083 %);   6276.128
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;     1405506.243;       18201.226;       21955.032;       19736.358;         983.920 ( 4.985 %);   6333.489
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     2664583.129;       36451.000;       43086.452;       39228.696;        2155.900 ( 5.496 %);   6372.886
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;     6461387.413;       72947.935;       85000.129;       77619.739;        3515.994 ( 4.530 %);   6441.660
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;    11319751.460;      145968.290;      168102.065;      151706.026;        5418.362 ( 3.572 %);   6591.696
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;    27441611.225;      292723.419;      328006.968;      304560.773;        8290.805 ( 2.722 %);   6566.834
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;    89227549.004;      618069.290;      723290.806;      642822.769;       20028.245 ( 3.116 %);   6222.555
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;   302499266.208;     1338943.871;     1483082.677;     1373746.109;       32436.202 ( 2.361 %);   5823.492
