     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           2.327;           2.000;           3.677;           2.148;           0.300 (13.980 %);   3552.513
      BASE;           0.031;           0.000;           0.000;          2;         31;          27.204;           2.548;           6.484;           2.777;           0.686 (24.694 %);   5494.453
      BASE;           0.062;           0.000;           0.000;          4;         31;          24.698;           3.645;           6.677;           4.203;           0.501 (11.916 %);   7260.345
      BASE;           0.125;           0.000;           0.000;          8;         31;         484.806;           5.194;           8.161;           5.384;           0.501 ( 9.313 %);  11336.050
      BASE;           0.250;           0.000;           0.000;         16;         31;         190.561;           3.355;           6.258;           3.503;           0.495 (14.132 %);  34843.172
      BASE;           0.500;           0.000;           0.000;         32;         31;         885.134;           4.903;          19.323;           5.411;           2.498 (46.169 %);  45123.010
      BASE;           1.000;           0.001;           0.000;         64;         31;       11110.214;           6.839;          20.355;           7.342;           2.337 (31.827 %);  66504.023
      BASE;           2.000;           0.002;           0.000;        128;         31;       10736.224;          13.903;         245.613;          21.911;          40.166 (183.315 %);  44569.415
      BASE;           4.000;           0.004;           0.000;        256;         31;       30776.867;          23.226;         231.742;          31.067;          36.113 (116.242 %);  62867.248
      BASE;           8.000;           0.008;           0.000;        512;         31;       19551.648;          45.129;         261.839;          53.163;          37.605 (70.734 %);  73476.515
      BASE;          16.000;           0.016;           0.000;       1024;         31;       75770.413;          92.548;         347.258;         112.059;          58.308 (52.033 %);  69717.955
      BASE;          32.000;           0.031;           0.000;       2048;         31;      120430.671;         171.032;         444.484;         191.376;          63.215 (33.032 %);  81645.410
      BASE;          64.000;           0.062;           0.000;       4096;         31;      314617.589;         596.452;        1606.097;         637.695;         181.626 (28.482 %);  49004.617
      BASE;         128.000;           0.125;           0.000;       8192;         31;      518857.546;        1205.419;        4176.000;        1416.057;         545.284 (38.507 %);  44136.651
      BASE;         256.000;           0.250;           0.000;      16384;         31;     1072942.709;        2397.065;        3163.290;        2530.455;         226.783 ( 8.962 %);  49398.240
      BASE;         512.000;           0.500;           0.000;      32768;         31;     4102034.764;        5513.452;        8864.581;        6032.576;         821.733 (13.622 %);  41441.668
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     9397161.016;       13838.258;       18178.419;       15016.944;        1327.398 ( 8.839 %);  33295.722
      BASE;        2048.000;           2.000;           0.002;     131072;         31;    16364893.954;       28037.806;       35663.323;       31659.008;        2215.815 ( 6.999 %);  31586.587
      BASE;        4096.000;           4.000;           0.004;     262144;         31;   289272938.374;       60143.613;      121704.355;       69856.599;       11611.877 (16.622 %);  28630.080
      BASE;        8192.000;           8.000;           0.008;     524288;         31;   120770410.081;      260387.774;      303182.742;      272234.854;        8230.998 ( 3.023 %);  14693.196
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;   379570741.272;      836741.258;     1064969.323;      894265.974;       46214.995 ( 5.168 %);   8945.884
