     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           2.576;           6.000;          61.581;           7.872;           9.645 (122.527 %);    969.188
     CBLAS;           0.031;           0.000;           0.000;          2;         31;          90.045;           7.774;          73.677;          10.089;          11.419 (113.187 %);   1512.425
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          44.969;           8.194;          75.677;          10.354;          11.729 (113.279 %);   2947.459
     CBLAS;           0.125;           0.000;           0.000;          8;         31;         160.714;           8.097;          79.387;          10.344;          12.396 (119.837 %);   5900.488
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         222.658;          10.742;          63.839;          12.463;           9.224 (74.005 %);   9794.347
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         886.428;          21.387;          88.258;          23.547;          11.617 (49.334 %);  10368.046
     CBLAS;           1.000;           0.001;           0.000;         64;         31;        1743.518;          45.355;         101.871;          47.226;           9.810 (20.773 %);  10339.289
     CBLAS;           2.000;           0.002;           0.000;        128;         31;        8996.160;         100.871;         165.065;         103.110;          11.124 (10.788 %);   9471.032
     CBLAS;           4.000;           0.004;           0.000;        256;         31;       15912.617;         245.742;        1331.516;         312.518;         226.480 (72.470 %);   6249.638
     CBLAS;           8.000;           0.008;           0.000;        512;         31;       23979.439;         523.774;         729.000;         539.914;          36.991 ( 6.851 %);   7234.949
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       71743.248;        1093.258;        1158.548;        1095.511;          11.318 ( 1.033 %);   7131.374
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;      179848.709;        2233.645;        6218.097;        2455.996;         724.455 (29.497 %);   6361.981
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;      494860.810;        4515.419;        8583.258;        4821.595;         769.438 (15.958 %);   6481.257
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;      760247.126;        9077.903;       12680.806;        9622.054;         964.365 (10.022 %);   6495.495
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;     4149512.405;       18721.323;       23267.581;       20036.681;        1013.968 ( 5.061 %);   6238.558
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     4937201.723;       36448.097;       44347.258;       39750.508;        2461.256 ( 6.192 %);   6289.228
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;    13389279.131;       72947.677;       90551.194;       77835.238;        4493.547 ( 5.773 %);   6423.826
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;    14683920.606;      145967.935;      174736.839;      152471.617;        6245.581 ( 4.096 %);   6558.598
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;    30105074.228;      293296.710;      338755.355;      305690.088;        9017.824 ( 2.950 %);   6542.574
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;    68006192.120;      628384.355;      770577.258;      647690.671;       24910.791 ( 3.846 %);   6175.788
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;   156131339.124;     1320782.258;     1466867.161;     1370140.229;       27796.112 ( 2.029 %);   5838.818
