     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           3.483;           1.935;           6.097;           2.208;           0.799 (36.170 %);   3455.011
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;           7.156;           3.194;           5.742;           3.510;           0.461 (13.142 %);   4346.906
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;         688.768;           4.258;           7.129;           4.632;           0.475 (10.253 %);   6587.779
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;         473.944;           3.774;           4.935;           3.898;           0.211 ( 5.415 %);  15656.711
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;         200.025;           6.097;           7.903;           6.213;           0.327 ( 5.258 %);  19647.251
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;        1286.285;          11.290;          14.000;          11.586;           0.449 ( 3.874 %);  21072.887
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;        1638.632;          20.097;          22.548;          20.630;           0.400 ( 1.939 %);  23667.933
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;        3544.345;          38.194;          40.645;          38.588;           0.389 ( 1.009 %);  25307.109
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;       11035.545;          83.032;        1354.355;         124.246;         220.827 (177.733 %);  15719.780
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;       34518.805;         153.677;         157.290;         154.215;           0.600 ( 0.389 %);  25329.888
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;       42286.024;         292.452;         504.871;         306.404;          35.765 (11.673 %);  25497.406
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;      138815.794;         578.129;         582.000;         578.918;           0.681 ( 0.118 %);  26990.011
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;      410552.593;        1448.581;        2742.742;        1500.779;         226.836 (15.115 %);  20822.518
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;      759910.991;        3047.194;        4312.161;        3259.788;         369.666 (11.340 %);  19173.027
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;     1526008.227;        6268.581;        8821.032;        6666.634;         562.872 ( 8.443 %);  18750.091
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;     5507803.759;       14374.806;       15861.581;       14819.771;         331.404 ( 2.236 %);  16869.356
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;     6955184.630;       30903.613;       31245.032;       31008.207;         102.888 ( 0.332 %);  16124.763
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;   562035001.396;       60265.226;       63227.387;       61646.030;        1131.933 ( 1.836 %);  16221.645
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;    32416190.052;      123294.935;      131601.581;      127449.084;        2003.870 ( 1.572 %);  15692.541
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;   140413356.031;      383470.419;      393716.774;      388926.225;        1881.447 ( 0.484 %);  10284.727
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;   285364157.990;      975110.290;     1094637.968;     1019616.416;       28256.054 ( 2.771 %);   7846.088
