     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           9.057;           3.806;           8.516;           4.074;           0.819 (20.099 %);   1872.570
      BASE;           0.031;           0.000;           0.000;          2;         31;          10.904;           5.516;          12.065;           5.848;           1.154 (19.728 %);   2609.452
      BASE;           0.062;           0.000;           0.000;          4;         31;          20.702;           9.871;          18.097;          11.108;           1.510 (13.592 %);   2747.468
      BASE;           0.125;           0.000;           0.000;          8;         31;         265.428;          17.258;          23.774;          18.627;           1.086 ( 5.830 %);   3276.776
      BASE;           0.250;           0.000;           0.000;         16;         31;         157.582;          32.806;          48.613;          34.571;           2.649 ( 7.662 %);   3531.017
      BASE;           0.500;           0.000;           0.000;         32;         31;         622.261;          69.258;          86.065;          69.974;           2.891 ( 4.132 %);   3489.039
      BASE;           1.000;           0.001;           0.000;         64;         31;        2999.231;         185.355;         202.968;         186.353;           2.995 ( 1.607 %);   2620.197
      BASE;           2.000;           0.002;           0.000;        128;         31;        5534.171;         309.548;         314.903;         310.169;           0.913 ( 0.294 %);   3148.484
      BASE;           4.000;           0.004;           0.000;        256;         31;       64930.410;         630.516;        1707.452;         758.932;         217.215 (28.621 %);   2573.519
      BASE;           8.000;           0.008;           0.000;        512;         31;       33063.461;        1271.419;        2711.548;        1388.878;         317.746 (22.878 %);   2812.522
      BASE;          16.000;           0.016;           0.000;       1024;         31;       78313.325;        2554.000;        5226.677;        2781.289;         553.938 (19.917 %);   2808.949
      BASE;          32.000;           0.031;           0.000;       2048;         31;      266031.049;        5119.839;       16742.516;        5898.274;        2286.011 (38.757 %);   2649.080
      BASE;          64.000;           0.062;           0.000;       4096;         31;      453925.841;       10254.677;       13945.161;       10922.392;        1071.456 ( 9.810 %);   2861.095
      BASE;         128.000;           0.125;           0.000;       8192;         31;      546463.551;       20518.484;       25844.516;       21864.724;        1674.367 ( 7.658 %);   2858.486
      BASE;         256.000;           0.250;           0.000;      16384;         31;     1070122.937;       41049.645;       47652.000;       43730.768;        2274.372 ( 5.201 %);   2858.399
      BASE;         512.000;           0.500;           0.000;      32768;         31;     2485000.947;       82722.903;       93149.613;       88969.605;        2372.139 ( 2.666 %);   2809.948
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     7036674.827;      170430.226;      188297.806;      179070.591;        3530.836 ( 1.972 %);   2792.195
      BASE;        2048.000;           2.000;           0.002;     131072;         31;   123340667.584;      349058.419;      387931.226;      360566.871;        7433.021 ( 2.061 %);   2773.411
      BASE;        4096.000;           4.000;           0.004;     262144;         31;    66172626.292;      707735.968;      786035.129;      722622.137;       12052.817 ( 1.668 %);   2767.698
      BASE;        8192.000;           8.000;           0.008;     524288;         31;   217668617.412;     1458988.226;     1483493.903;     1467986.692;        6890.305 ( 0.469 %);   2724.820
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;   150248705.222;     2913328.613;     2964752.806;     2923065.646;       10552.166 ( 0.361 %);   2736.853
