     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           6.753;           7.129;          51.516;           8.646;           7.700 (89.055 %);    882.405
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           7.193;           8.258;          66.032;          10.111;          10.039 (99.288 %);   1509.062
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          25.967;           9.452;          74.032;          11.505;          11.226 (97.568 %);   2652.462
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          27.526;           9.226;          68.806;          11.206;          10.343 (92.298 %);   5446.525
     CBLAS;           0.250;           0.000;           0.000;         16;         31;        2142.438;          12.806;          75.548;          14.890;          10.890 (73.140 %);   8198.393
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         963.752;          20.742;          68.355;          22.319;           8.265 (37.032 %);  10938.852
     CBLAS;           1.000;           0.001;           0.000;         64;         31;        5066.928;          50.968;         114.516;          53.116;          11.024 (20.755 %);   9192.678
     CBLAS;           2.000;           0.002;           0.000;        128;         31;        6089.199;          97.258;         160.516;          99.432;          10.967 (11.030 %);   9821.404
     CBLAS;           4.000;           0.004;           0.000;        256;         31;       12171.644;         241.452;         313.774;         244.174;          12.499 ( 5.119 %);   7998.907
     CBLAS;           8.000;           0.008;           0.000;        512;         31;      520461.710;         525.323;         591.774;         527.938;          11.466 ( 2.172 %);   7399.064
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       46423.521;        1094.742;        1189.000;        1097.871;          16.360 ( 1.490 %);   7116.046
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;     1858189.018;        2234.871;        3538.774;        2407.163;         347.256 (14.426 %);   6491.043
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;      954274.701;        4521.710;        6393.839;        4950.737;         521.710 (10.538 %);   6312.191
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;      391002.202;        9616.097;       13055.548;       10189.921;         697.661 ( 6.847 %);   6133.512
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;     2544165.397;       18727.839;       22904.839;       19982.591;        1052.284 ( 5.266 %);   6255.445
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     2679142.007;       36455.968;       44268.194;       38710.713;        2223.889 ( 5.745 %);   6458.161
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;     7434185.122;       72960.871;       87446.194;       76446.819;        4257.428 ( 5.569 %);   6540.494
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;    21731862.885;      145988.742;      168483.935;      152897.232;        5559.092 ( 3.636 %);   6540.341
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;    39248610.847;      293900.677;      323556.226;      306663.310;        6287.860 ( 2.050 %);   6521.811
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;    70039491.141;      621561.097;      718362.323;      648812.812;       15483.665 ( 2.386 %);   6165.106
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;   157835523.675;     1325371.097;     1462009.548;     1360581.994;       24641.398 ( 1.811 %);   5879.837
