     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.016;           0.000;           0.000;          1;         31;          12.044;           5.581;          10.806;           6.570;           0.886 (13.482 %);   1161.266
   UNROLL4;           0.031;           0.000;           0.000;          2;         31;        1177.097;           8.613;          12.871;           9.381;           0.744 ( 7.932 %);   1626.523
   UNROLL4;           0.062;           0.000;           0.000;          4;         31;          76.216;           7.839;          12.000;           8.059;           0.721 ( 8.942 %);   3786.934
   UNROLL4;           0.125;           0.000;           0.000;          8;         31;         165.366;          11.742;          14.581;          11.897;           0.487 ( 4.089 %);   5130.143
   UNROLL4;           0.250;           0.000;           0.000;         16;         31;         377.106;          23.968;          25.581;          24.369;           0.327 ( 1.341 %);   5009.344
   UNROLL4;           0.500;           0.000;           0.000;         32;         31;        4730.291;          42.419;          48.613;          47.221;           0.898 ( 1.902 %);   5170.179
   UNROLL4;           1.000;           0.001;           0.000;         64;         31;        1300.348;          82.935;         667.613;         108.563;         100.680 (92.739 %);   4497.674
   UNROLL4;           2.000;           0.002;           0.000;        128;         31;       29419.557;         139.161;         143.677;         139.540;           0.763 ( 0.547 %);   6998.462
   UNROLL4;           4.000;           0.004;           0.000;        256;         31;       16129.549;         272.645;         799.645;         296.820;          97.246 (32.763 %);   6580.163
   UNROLL4;           8.000;           0.008;           0.000;        512;         31;       44864.204;         540.097;        1173.355;         609.857;         149.480 (24.511 %);   6405.187
   UNROLL4;          16.000;           0.016;           0.000;       1024;         31;       39890.125;        1076.871;        2075.613;        1175.856;         236.311 (20.097 %);   6644.094
   UNROLL4;          32.000;           0.031;           0.000;       2048;         31;      103083.986;        2149.355;        3328.355;        2255.636;         262.877 (11.654 %);   6927.092
   UNROLL4;          64.000;           0.062;           0.000;       4096;         31;      502673.068;        4450.419;        6389.613;        4901.499;         637.141 (12.999 %);   6375.601
   UNROLL4;         128.000;           0.125;           0.000;       8192;         31;      551815.788;        8924.968;       12172.419;        9769.815;         892.648 ( 9.137 %);   6397.255
   UNROLL4;         256.000;           0.250;           0.000;      16384;         31;     2487432.443;       18405.355;       22475.516;       19942.393;        1134.956 ( 5.691 %);   6268.054
   UNROLL4;         512.000;           0.500;           0.000;      32768;         31;    16795718.979;       38485.613;       43979.258;       41437.738;        1256.062 ( 3.031 %);   6033.148
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         31;     5829804.668;       78401.871;       87887.161;       84369.795;        2451.784 ( 2.906 %);   5926.292
   UNROLL4;        2048.000;           2.000;           0.002;     131072;         31;    15295260.471;      156731.968;      174908.290;      169449.418;        4042.981 ( 2.386 %);   5901.466
   UNROLL4;        4096.000;           4.000;           0.004;     262144;         31;    31592473.922;      325108.871;      391032.258;      346694.226;        9600.861 ( 2.769 %);   5768.772
   UNROLL4;        8192.000;           8.000;           0.008;     524288;         31;   100876295.482;      704006.806;      789201.581;      734468.175;       11445.896 ( 1.558 %);   5446.118
   UNROLL4;       16384.000;          16.000;           0.016;    1048576;         31;   756898032.854;     1534983.581;     1654417.968;     1589284.207;       19871.041 ( 1.250 %);   5033.713
