     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           7.324;           1.935;           4.516;           2.088;           0.440 (21.053 %);   3653.966
      BASE;           0.031;           0.000;           0.000;          2;         31;          22.173;           2.774;           5.710;           2.936;           0.513 (17.472 %);   5196.319
      BASE;           0.062;           0.000;           0.000;          4;         31;          62.157;           4.000;           7.226;           4.162;           0.558 (13.414 %);   7331.959
      BASE;           0.125;           0.000;           0.000;          8;         31;         528.125;           6.355;          10.355;           6.532;           0.687 (10.521 %);   9344.353
      BASE;           0.250;           0.000;           0.000;         16;         31;         310.505;          12.290;          15.903;          12.483;           0.624 ( 4.997 %);   9779.008
      BASE;           0.500;           0.000;           0.000;         32;         31;         774.768;          20.839;          38.742;          21.523;           3.105 (14.427 %);  11343.258
      BASE;           1.000;           0.001;           0.000;         64;         31;         795.776;          47.774;          49.387;          47.968;           0.265 ( 0.552 %);  10179.367
      BASE;           2.000;           0.002;           0.000;        128;         31;        3946.884;         106.194;         120.903;         107.450;           2.473 ( 2.301 %);   9088.558
      BASE;           4.000;           0.004;           0.000;        256;         31;      152900.133;         248.548;         251.548;         249.348;           0.609 ( 0.244 %);   7832.928
      BASE;           8.000;           0.008;           0.000;        512;         31;       28125.675;         533.968;        1169.516;         609.989;         161.332 (26.448 %);   6403.801
      BASE;          16.000;           0.016;           0.000;       1024;         31;       99283.169;        1112.290;        2063.903;        1205.880;         186.914 (15.500 %);   6478.672
      BASE;          32.000;           0.031;           0.000;       2048;         31;     1698369.101;        2244.194;        3302.065;        2367.586;         286.989 (12.122 %);   6599.550
      BASE;          64.000;           0.062;           0.000;       4096;         31;      439585.681;        4526.355;        6872.806;        4773.882;         507.771 (10.636 %);   6546.036
      BASE;         128.000;           0.125;           0.000;       8192;         31;      473882.146;        9088.419;       12766.194;        9541.303;         871.652 ( 9.136 %);   6550.468
      BASE;         256.000;           0.250;           0.000;      16384;         31;     4181048.596;       18212.806;       23451.323;       19267.150;        1587.100 ( 8.237 %);   6487.727
      BASE;         512.000;           0.500;           0.000;      32768;         31;     6158887.524;       36464.097;       42781.129;       38463.624;        2234.145 ( 5.808 %);   6499.648
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     8390670.243;       72954.161;       81941.000;       76664.560;        2469.293 ( 3.221 %);   6521.918
      BASE;        2048.000;           2.000;           0.002;     131072;         31;    13546861.692;      146231.935;      161714.258;      153361.618;        3330.073 ( 2.171 %);   6520.536
      BASE;        4096.000;           4.000;           0.004;     262144;         31;    24044720.428;      292815.903;      364050.839;      308378.958;       12025.049 ( 3.899 %);   6485.527
      BASE;        8192.000;           8.000;           0.008;     524288;         31;    70654386.421;      629840.323;      721573.032;      664727.520;       16656.536 ( 2.506 %);   6017.503
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;   148835076.831;     1360490.677;     1490986.806;     1398970.545;       22576.921 ( 1.614 %);   5718.491
