     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           2.739;           6.290;          64.194;           8.406;          10.018 (119.183 %);    907.649
     CBLAS;           0.031;           0.000;           0.000;          2;         31;          13.512;           7.935;          97.194;          10.792;          15.511 (143.731 %);   1413.926
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          18.543;           8.452;          60.742;          10.146;           9.083 (89.530 %);   3007.947
     CBLAS;           0.125;           0.000;           0.000;          8;         31;         100.180;           8.387;         128.968;          12.126;          20.976 (172.980 %);   5033.371
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         114.923;          11.871;          75.258;          13.989;          10.999 (78.626 %);   8726.010
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         523.745;          20.742;          82.258;          22.769;          10.680 (46.904 %);  10722.357
     CBLAS;           1.000;           0.001;           0.000;         64;         31;        3160.594;          45.290;         100.903;          47.215;           9.639 (20.416 %);  10341.643
     CBLAS;           2.000;           0.002;           0.000;        128;         31;       48021.883;          95.258;         176.387;          98.691;          13.962 (14.147 %);   9895.142
     CBLAS;           4.000;           0.004;           0.000;        256;         31;        4979.962;         240.290;        1209.774;         321.298;         213.875 (66.566 %);   6078.856
     CBLAS;           8.000;           0.008;           0.000;        512;         31;       15006.205;         524.613;         594.129;         527.375;          11.992 ( 2.274 %);   7406.963
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       88622.796;        1093.323;        5146.387;        1279.724;         714.586 (55.839 %);   6104.830
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;      139360.599;        2232.903;        4649.290;        2475.619;         496.026 (20.036 %);   6311.553
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;      337792.327;        4516.548;        6432.065;        4625.798;         364.257 ( 7.874 %);   6755.592
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;     2064672.951;        9077.710;       11353.613;        9469.420;         732.585 ( 7.736 %);   6600.193
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;     1895398.525;       18200.065;       21779.226;       18665.475;         965.688 ( 5.174 %);   6696.856
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     2387998.369;       36454.645;       42496.419;       37889.979;        1837.693 ( 4.850 %);   6598.051
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;     5472733.532;       72949.161;       81405.968;       74312.469;        2442.728 ( 3.287 %);   6728.346
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;    13653652.438;      145963.774;      161442.129;      147490.314;        3742.046 ( 2.537 %);   6780.106
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;    40164380.567;      293116.645;      318138.355;      297376.726;        5172.122 ( 1.739 %);   6725.476
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;   136259990.841;      612500.871;      650484.355;      625233.259;        9322.980 ( 1.491 %);   6397.612
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;   862742433.323;     1309733.452;     1465105.677;     1357847.551;       31721.606 ( 2.336 %);   5891.678
