     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.016;           0.000;           0.000;          1;         31;          22.517;           2.290;           7.452;           2.540;           0.892 (35.128 %);   3004.184
   UNROLL4;           0.031;           0.000;           0.000;          2;         31;           2.768;           2.548;           4.774;           2.702;           0.375 (13.866 %);   5647.519
   UNROLL4;           0.062;           0.000;           0.000;          4;         31;          68.579;           3.355;          12.774;           3.723;           1.632 (43.829 %);   8196.241
   UNROLL4;           0.125;           0.000;           0.000;          8;         31;          89.171;           5.355;           9.516;           5.573;           0.711 (12.767 %);  10952.283
   UNROLL4;           0.250;           0.000;           0.000;         16;         31;         219.225;          10.161;          11.903;          10.303;           0.290 ( 2.810 %);  11848.001
   UNROLL4;           0.500;           0.000;           0.000;         32;         31;         746.127;          19.000;          22.258;          19.175;           0.554 ( 2.892 %);  12732.252
   UNROLL4;           1.000;           0.001;           0.000;         64;         31;        1874.307;          35.226;          38.226;          35.391;           0.512 ( 1.447 %);  13796.761
   UNROLL4;           2.000;           0.002;           0.000;        128;         31;        3075.153;          69.677;          70.839;          69.840;           0.207 ( 0.296 %);  13982.916
   UNROLL4;           4.000;           0.004;           0.000;        256;         31;       10000.789;         141.903;         143.032;         142.221;           0.222 ( 0.156 %);  13733.036
   UNROLL4;           8.000;           0.008;           0.000;        512;         31;       66808.094;         279.710;         483.710;         286.425;          35.418 (12.365 %);  13637.940
   UNROLL4;          16.000;           0.016;           0.000;       1024;         31;       59837.554;         555.774;         558.226;         556.445;           0.516 ( 0.093 %);  14040.028
   UNROLL4;          32.000;           0.031;           0.000;       2048;         31;      107044.868;        1108.548;        2006.387;        1289.724;         244.537 (18.960 %);  12114.992
   UNROLL4;          64.000;           0.062;           0.000;       4096;         31;      501081.430;        2214.484;        3397.032;        2372.337;         318.932 (13.444 %);  13172.663
   UNROLL4;         128.000;           0.125;           0.000;       8192;         31;     1333878.319;        4423.613;        6857.968;        4681.416;         613.336 (13.102 %);  13350.660
   UNROLL4;         256.000;           0.250;           0.000;      16384;         31;     1100077.080;        8842.355;       13122.000;        9749.943;        1290.337 (13.234 %);  12820.587
   UNROLL4;         512.000;           0.500;           0.000;      32768;         31;     2386425.245;       17683.032;       22818.032;       18947.048;        1529.726 ( 8.074 %);  13194.668
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         31;     5676409.254;       35357.097;       43587.774;       38520.074;        1785.600 ( 4.636 %);  12980.245
   UNROLL4;        2048.000;           2.000;           0.002;     131072;         31;    14834489.529;       71068.484;       97438.032;       79329.347;        4405.307 ( 5.553 %);  12605.675
   UNROLL4;        4096.000;           4.000;           0.004;     262144;         31;    34389932.433;      148260.387;      167827.903;      161604.552;        4349.551 ( 2.691 %);  12375.889
   UNROLL4;        8192.000;           8.000;           0.008;     524288;         31;   123490796.621;      388075.581;      420491.613;      399670.990;        6525.480 ( 1.633 %);  10008.232
   UNROLL4;       16384.000;          16.000;           0.016;    1048576;         31;   322413161.140;      969978.355;     1145192.484;     1010885.406;       37349.737 ( 3.695 %);   7913.854
