     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           5.787;           2.452;          17.194;           2.995;           2.551 (85.171 %);   2547.282
      BASE;           0.031;           0.000;           0.000;          2;         31;           9.687;           2.839;          18.935;           3.496;           2.781 (79.558 %);   4365.140
      BASE;           0.062;           0.000;           0.000;          4;         31;          14.834;           2.935;          16.871;           3.431;           2.413 (70.326 %);   8894.439
      BASE;           0.125;           0.000;           0.000;          8;         31;          53.911;           3.290;          17.548;           3.828;           2.469 (64.496 %);  15944.577
      BASE;           0.250;           0.000;           0.000;         16;         31;         302.527;           4.516;          21.161;           5.137;           2.879 (56.051 %);  23763.640
      BASE;           0.500;           0.000;           0.000;         32;         31;         249.128;           6.323;          23.419;           7.218;           2.912 (40.350 %);  33823.925
      BASE;           1.000;           0.001;           0.000;         64;         31;        4922.026;           9.677;          26.871;          10.310;           2.975 (28.859 %);  47360.550
      BASE;           2.000;           0.002;           0.000;        128;         31;        3533.298;          22.387;          37.452;          23.045;           2.588 (11.231 %);  42376.392
      BASE;           4.000;           0.004;           0.000;        256;         31;       10327.140;          52.548;          66.323;          53.163;           2.364 ( 4.446 %);  36738.258
      BASE;           8.000;           0.008;           0.000;        512;         31;       21524.874;         131.419;         144.065;         132.323;           2.122 ( 1.603 %);  29520.661
      BASE;          16.000;           0.016;           0.000;       1024;         31;       43634.065;         252.000;         266.194;         252.937;           2.397 ( 0.948 %);  30887.084
      BASE;          32.000;           0.031;           0.000;       2048;         31;      137041.954;         536.677;        1072.032;         557.380;          92.685 (16.629 %);  28032.927
      BASE;          64.000;           0.062;           0.000;       4096;         31;      975681.242;        1110.032;        3170.581;        1291.230;         418.868 (32.439 %);  24201.735
      BASE;         128.000;           0.125;           0.000;       8192;         31;     1556299.419;        2250.290;        3712.548;        2461.275;         365.019 (14.831 %);  25393.346
      BASE;         256.000;           0.250;           0.000;      16384;         31;     1673504.518;        4532.774;        6381.806;        4852.378;         516.302 (10.640 %);  25760.564
      BASE;         512.000;           0.500;           0.000;      32768;         31;    12035990.151;        9108.710;       12587.484;        9795.594;        1089.068 (11.118 %);  25521.678
      BASE;        1024.000;           1.000;           0.001;      65536;         31;    13160731.282;       18234.452;       24176.677;       19893.975;        1964.709 ( 9.876 %);  25133.238
      BASE;        2048.000;           2.000;           0.002;     131072;         31;    20383750.096;       36486.419;       47470.290;       40196.061;        2737.099 ( 6.809 %);  24878.060
      BASE;        4096.000;           4.000;           0.004;     262144;         31;    28526810.369;       76591.968;       91928.323;       83698.257;        2782.394 ( 3.324 %);  23895.360
      BASE;        8192.000;           8.000;           0.008;     524288;         31;    73982816.885;      262398.581;      290403.452;      271975.687;        8063.729 ( 2.965 %);  14707.197
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;   177532018.370;      841093.355;     1071349.000;      901180.870;       44142.585 ( 4.898 %);   8877.241
