     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           1.915;           6.290;          66.645;           8.203;          10.493 (127.917 %);    930.037
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           5.370;           8.097;          91.129;          11.193;          14.353 (128.238 %);   1363.296
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          22.653;           9.290;          70.645;          11.244;          10.665 (94.846 %);   2714.030
     CBLAS;           0.125;           0.000;           0.000;          8;         31;         132.924;           9.097;          82.484;          11.420;          12.758 (111.709 %);   5344.429
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         135.655;          11.871;          83.097;          14.198;          12.369 (87.117 %);   8597.448
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         635.614;          20.097;          78.452;          22.062;          10.124 (45.888 %);  11066.324
     CBLAS;           1.000;           0.001;           0.000;         64;         31;        1944.429;          45.355;         105.000;          47.358;          10.349 (21.852 %);  10310.478
     CBLAS;           2.000;           0.002;           0.000;        128;         31;       32442.277;         105.839;         164.645;         108.844;          10.049 ( 9.233 %);   8972.163
     CBLAS;           4.000;           0.004;           0.000;        256;         31;        8499.263;         241.032;        1236.613;         293.288;         176.353 (60.130 %);   6659.402
     CBLAS;           8.000;           0.008;           0.000;        512;         31;      973723.127;         524.290;        1093.645;         592.479;         154.464 (26.071 %);   6593.061
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       34124.416;        1093.129;        3213.097;        1259.165;         424.821 (33.738 %);   6204.508
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;      123565.126;        2232.000;        4633.258;        2401.073;         455.592 (18.975 %);   6507.506
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;      473330.929;        4516.097;        5904.806;        4798.781;         450.435 ( 9.386 %);   6512.070
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;      573034.824;        9077.258;       13111.903;        9667.099;        1099.197 (11.370 %);   6465.228
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;     1166638.006;       18200.097;       35274.290;       20182.370;        3240.245 (16.055 %);   6193.524
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     3615300.604;       36454.032;       43940.452;       38328.571;        2182.135 ( 5.693 %);   6522.549
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;    10407257.403;       72943.194;       85195.516;       77689.963;        4212.769 ( 5.423 %);   6435.838
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;    32994674.300;      145963.968;      174559.806;      153140.799;        6069.673 ( 3.963 %);   6529.939
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;    27541285.441;      294008.871;      366606.548;      309821.678;       12895.217 ( 4.162 %);   6455.326
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;    68539498.349;      621889.097;      662371.097;      645438.456;       10092.976 ( 1.564 %);   6197.338
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;   183110329.645;     1332538.452;     1454351.355;     1382249.295;       21836.830 ( 1.580 %);   5787.668
