     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.016;           0.000;           0.000;          1;         31;          13.653;           2.548;           4.484;           2.702;           0.355 (13.133 %);   2823.759
   UNROLL4;           0.031;           0.000;           0.000;          2;         31;          24.387;           2.677;           4.806;           2.808;           0.372 (13.231 %);   5433.255
   UNROLL4;           0.062;           0.000;           0.000;          4;         31;           9.931;           3.032;           4.903;           3.152;           0.317 (10.060 %);   9683.462
   UNROLL4;           0.125;           0.000;           0.000;          8;         31;         325.970;           3.645;           6.194;           3.817;           0.435 (11.388 %);  15989.492
   UNROLL4;           0.250;           0.000;           0.000;         16;         31;         186.678;           4.613;           6.968;           4.809;           0.423 ( 8.797 %);  25381.693
   UNROLL4;           0.500;           0.000;           0.000;         32;         31;         357.150;           6.452;           8.742;           6.804;           0.414 ( 6.091 %);  35879.307
   UNROLL4;           1.000;           0.001;           0.000;         64;         31;        1930.255;          10.677;          13.742;          10.873;           0.524 ( 4.817 %);  44908.003
   UNROLL4;           2.000;           0.002;           0.000;        128;         31;        4451.737;          23.097;          25.935;          23.362;           0.470 ( 2.012 %);  41801.893
   UNROLL4;           4.000;           0.004;           0.000;        256;         31;       32991.182;          54.774;          55.968;          55.013;           0.209 ( 0.379 %);  35503.161
   UNROLL4;           8.000;           0.008;           0.000;        512;         31;       37388.941;         124.903;         712.516;         153.554;         100.449 (65.416 %);  25438.892
   UNROLL4;          16.000;           0.016;           0.000;       1024;         31;       50446.757;         257.000;         259.290;         257.809;           0.572 ( 0.222 %);  30303.397
   UNROLL4;          32.000;           0.031;           0.000;       2048;         31;       83300.154;         541.839;         543.355;         542.547;           0.437 ( 0.080 %);  28799.327
   UNROLL4;          64.000;           0.062;           0.000;       4096;         31;      348005.902;        1114.677;        1116.548;        1115.328;           0.354 ( 0.032 %);  28018.652
   UNROLL4;         128.000;           0.125;           0.000;       8192;         31;      727103.552;        2255.161;        4094.774;        2455.724;         412.646 (16.803 %);  25450.739
   UNROLL4;         256.000;           0.250;           0.000;      16384;         31;     2199669.369;        4537.129;        6718.581;        4887.736;         581.381 (11.895 %);  25574.212
   UNROLL4;         512.000;           0.500;           0.000;      32768;         31;     7182988.289;        9108.581;       13242.129;       10137.536;        1208.519 (11.921 %);  24660.826
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         31;     9535786.703;       18762.032;       23365.484;       20403.122;        1308.226 ( 6.412 %);  24506.053
   UNROLL4;        2048.000;           2.000;           0.002;     131072;         31;    22372595.034;       41050.129;       42917.839;       42195.915;         554.087 ( 1.313 %);  23698.977
   UNROLL4;        4096.000;           4.000;           0.004;     262144;         31;    36322018.424;       85590.323;       92331.935;       87675.497;        1275.490 ( 1.455 %);  22811.391
   UNROLL4;        8192.000;           8.000;           0.008;     524288;         31;    72863845.166;      276837.129;      343827.548;      288541.589;       13200.045 ( 4.575 %);  13862.820
   UNROLL4;       16384.000;          16.000;           0.016;    1048576;         31;   223730787.816;      858226.484;     1049145.065;      912186.884;       41790.870 ( 4.581 %);   8770.133
