     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           6.477;           4.161;          11.935;           4.495;           1.347 (29.975 %);   1697.449
      BASE;           0.031;           0.000;           0.000;          2;         31;          14.534;           5.806;          22.387;           6.386;           2.873 (44.991 %);   2389.368
      BASE;           0.062;           0.000;           0.000;          4;         31;          13.003;          10.710;          26.000;          11.325;           2.637 (23.285 %);   2694.819
      BASE;           0.125;           0.000;           0.000;          8;         31;         231.242;          17.548;          33.903;          18.255;           2.817 (15.433 %);   3343.452
      BASE;           0.250;           0.000;           0.000;         16;         31;          95.647;          34.290;          60.290;          36.026;           4.791 (13.298 %);   3388.358
      BASE;           0.500;           0.000;           0.000;         32;         31;         399.350;          80.839;          88.226;          84.430;           1.597 ( 1.892 %);   2891.630
      BASE;           1.000;           0.001;           0.000;         64;         31;        1900.899;         154.129;         161.419;         156.092;           1.476 ( 0.946 %);   3128.165
      BASE;           2.000;           0.002;           0.000;        128;         31;        3245.579;         311.677;        2038.839;         374.368;         300.700 (80.322 %);   2608.566
      BASE;           4.000;           0.004;           0.000;        256;         31;        9746.747;         632.677;         639.839;         633.971;           1.301 ( 0.205 %);   3080.781
      BASE;           8.000;           0.008;           0.000;        512;         31;      123352.227;        1274.258;        2798.419;        1463.772;         369.859 (25.267 %);   2668.619
      BASE;          16.000;           0.016;           0.000;       1024;         31;       45443.637;        2556.677;        3752.581;        2723.096;         327.409 (12.023 %);   2868.977
      BASE;          32.000;           0.031;           0.000;       2048;         31;      108141.717;        5123.742;        6348.258;        5336.300;         364.818 ( 6.837 %);   2928.059
      BASE;          64.000;           0.062;           0.000;       4096;         31;      351047.816;       10275.323;       13466.161;       10753.052;         811.118 ( 7.543 %);   2906.152
      BASE;         128.000;           0.125;           0.000;       8192;         31;      543070.486;       20591.452;       24898.581;       21533.995;        1239.530 ( 5.756 %);   2902.388
      BASE;         256.000;           0.250;           0.000;      16384;         31;     1729337.957;       41117.935;       48349.806;       43443.921;        2338.578 ( 5.383 %);   2877.273
      BASE;         512.000;           0.500;           0.000;      32768;         31;     4868389.815;       82358.774;       88690.613;       86058.558;        1660.659 ( 1.930 %);   2904.999
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     6052200.680;      164682.710;      176704.355;      168463.660;        4175.851 ( 2.479 %);   2967.999
      BASE;        2048.000;           2.000;           0.002;     131072;         31;    15091827.612;      329093.516;      346775.548;      332508.288;        5346.530 ( 1.608 %);   3007.444
      BASE;        4096.000;           4.000;           0.004;     262144;         31;    38316451.953;      658787.903;      714394.000;      664070.381;       12127.290 ( 1.826 %);   3011.729
      BASE;        8192.000;           8.000;           0.008;     524288;         31;    87453129.943;     1336688.387;     1414598.581;     1351142.811;       19548.648 ( 1.447 %);   2960.457
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;   130754384.201;     2758521.161;     2839458.548;     2788343.955;       23348.122 ( 0.837 %);   2869.087
