     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           1.478;           7.548;          73.194;           9.635;          11.410 (118.422 %);    791.810
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           9.504;           8.903;         146.290;          13.183;          23.896 (181.264 %);   1157.477
     CBLAS;           0.062;           0.000;           0.000;          4;         31;         525.449;           9.806;         606.677;          28.030;         103.878 (370.591 %);   1088.735
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          72.592;           9.290;          76.516;          11.547;          11.668 (101.047 %);   5285.615
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         315.563;          13.581;          72.645;          15.535;          10.253 (66.000 %);   7857.912
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         606.134;          21.548;          87.097;          23.725;          11.377 (47.955 %);  10290.300
     CBLAS;           1.000;           0.001;           0.000;         64;         31;        2104.614;          47.258;         114.806;          49.509;          11.723 (23.678 %);   9862.417
     CBLAS;           2.000;           0.002;           0.000;        128;         31;        4478.531;         106.290;         182.839;         109.234;          13.217 (12.100 %);   8940.127
     CBLAS;           4.000;           0.004;           0.000;        256;         31;       37852.974;         240.677;         294.806;         243.138;           9.284 ( 3.819 %);   8032.995
     CBLAS;           8.000;           0.008;           0.000;        512;         31;       27507.924;         525.000;         729.065;         534.370;          37.639 ( 7.044 %);   7310.003
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       46873.681;        1095.226;        1157.806;        1097.322;          10.859 ( 0.990 %);   7119.608
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;      144101.349;        2235.258;        3364.581;        2328.497;         240.054 (10.309 %);   6710.338
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;      207453.520;        4521.129;        6027.097;        4638.450;         320.248 ( 6.904 %);   6737.165
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;      534545.080;        9081.774;       11410.097;        9385.353;         649.305 ( 6.918 %);   6659.313
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;     1450550.694;       18207.806;       21892.194;       18657.692;         895.457 ( 4.799 %);   6699.650
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     2910318.089;       36468.839;       43222.935;       37044.752;        1457.799 ( 3.935 %);   6748.594
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;    11328320.318;       72958.032;       79538.581;       73575.837;        1699.444 ( 2.310 %);   6795.709
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;    10938636.978;      145978.194;      152824.710;      146404.539;        1598.934 ( 1.092 %);   6830.389
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;   107459082.660;      292736.774;      298748.935;      293432.613;        1245.425 ( 0.424 %);   6815.875
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;   127001743.210;      608940.774;      697548.645;      614605.626;       15067.682 ( 2.452 %);   6508.239
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;   341387571.148;     1280487.355;     1412333.161;     1320084.519;       22476.943 ( 1.703 %);   6060.218
