     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.016;           0.000;           0.000;          1;         31;         243.510;           4.645;           8.806;           4.892;           0.738 (15.090 %);   1559.415
   UNROLL4;           0.031;           0.000;           0.000;          2;         31;          14.000;           6.613;           9.581;           6.781;           0.516 ( 7.608 %);   2250.215
   UNROLL4;           0.062;           0.000;           0.000;          4;         31;          24.428;           7.774;          12.065;           8.024;           0.748 ( 9.324 %);   3803.080
   UNROLL4;           0.125;           0.000;           0.000;          8;         31;         235.653;          11.613;          15.065;          11.821;           0.607 ( 5.131 %);   5163.232
   UNROLL4;           0.250;           0.000;           0.000;         16;         31;        1162.439;          20.710;          24.516;          21.045;           0.646 ( 3.071 %);   5800.452
   UNROLL4;           0.500;           0.000;           0.000;         32;         31;         879.316;          38.258;          42.935;          38.605;           0.783 ( 2.028 %);   6324.054
   UNROLL4;           1.000;           0.001;           0.000;         64;         31;         595.034;          82.065;          84.903;          82.459;           0.464 ( 0.563 %);   5921.472
   UNROLL4;           2.000;           0.002;           0.000;        128;         31;       16877.872;         154.419;         891.484;         204.409;         123.513 (60.424 %);   4777.502
   UNROLL4;           4.000;           0.004;           0.000;        256;         31;       13843.182;         295.258;         297.387;         295.903;           0.461 ( 0.156 %);   6600.553
   UNROLL4;           8.000;           0.008;           0.000;        512;         31;       27478.349;         578.194;         582.258;         579.188;           0.749 ( 0.129 %);   6744.360
   UNROLL4;          16.000;           0.016;           0.000;       1024;         31;      155432.440;        1145.677;        2302.774;        1255.352;         272.743 (21.726 %);   6223.355
   UNROLL4;          32.000;           0.031;           0.000;       2048;         31;      123336.877;        2280.097;        3440.581;        2384.985;         267.690 (11.224 %);   6551.403
   UNROLL4;          64.000;           0.062;           0.000;       4096;         31;      314488.522;        4694.613;        6039.677;        4845.109;         375.295 ( 7.746 %);   6449.804
   UNROLL4;         128.000;           0.125;           0.000;       8192;         31;     1150735.904;        9353.613;       12360.548;        9700.106;         814.429 ( 8.396 %);   6443.229
   UNROLL4;         256.000;           0.250;           0.000;      16384;         31;     1685150.276;       18696.903;       23118.161;       19754.726;        1422.689 ( 7.202 %);   6327.600
   UNROLL4;         512.000;           0.500;           0.000;      32768;         31;     4292860.511;       37431.839;       42877.968;       38962.911;        1600.957 ( 4.109 %);   6416.358
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         31;    11433353.162;       74827.226;       87355.677;       81490.931;        3872.148 ( 4.752 %);   6135.652
   UNROLL4;        2048.000;           2.000;           0.002;     131072;         31;    14665356.154;      152744.129;      173494.484;      161006.037;        5048.980 ( 3.136 %);   6210.947
   UNROLL4;        4096.000;           4.000;           0.004;     262144;         31;    93645999.914;      307972.161;      395558.097;      329450.943;       14888.366 ( 4.519 %);   6070.707
   UNROLL4;        8192.000;           8.000;           0.008;     524288;         31;    71951842.290;      682767.419;      748390.000;      715522.574;       15341.892 ( 2.144 %);   5590.320
   UNROLL4;       16384.000;          16.000;           0.016;    1048576;         31;   166031834.952;     1484401.677;     1621122.806;     1538216.238;       28468.374 ( 1.851 %);   5200.829
