     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;          27.298;           2.065;           4.581;           2.233;           0.442 (19.780 %);   3417.194
      BASE;           0.031;           0.000;           0.000;          2;         31;           3.453;           2.419;           6.097;           2.608;           0.652 (25.005 %);   5850.728
      BASE;           0.062;           0.000;           0.000;          4;         31;          29.089;           3.742;           6.677;           4.026;           0.480 (11.918 %);   7579.384
      BASE;           0.125;           0.000;           0.000;          8;         31;          36.551;           2.516;           5.839;           2.680;           0.571 (21.320 %);  22771.322
      BASE;           0.250;           0.000;           0.000;         16;         31;          37.766;           5.226;           8.806;           5.613;           0.591 (10.530 %);  21748.159
      BASE;           0.500;           0.000;           0.000;         32;         31;         280.503;          10.290;          12.613;          10.454;           0.393 ( 3.760 %);  23354.765
      BASE;           1.000;           0.001;           0.000;         64;         31;        9014.206;          29.097;          30.355;          29.234;           0.207 ( 0.709 %);  16702.726
      BASE;           2.000;           0.002;           0.000;        128;         31;         514.746;          84.613;          86.194;          84.888;           0.262 ( 0.309 %);  11504.185
      BASE;           4.000;           0.004;           0.000;        256;         31;        6241.115;         208.935;        1323.935;         277.600;         241.895 (87.138 %);   7035.748
      BASE;           8.000;           0.008;           0.000;        512;         31;        4710.114;         493.645;        1041.194;         518.175;          94.756 (18.287 %);   7538.477
      BASE;          16.000;           0.016;           0.000;       1024;         31;        6275.772;        1064.065;        1631.774;        1087.329;          99.462 ( 9.147 %);   7185.035
      BASE;          32.000;           0.031;           0.000;       2048;         31;       84155.039;        2204.000;        4205.097;        2399.047;         422.237 (17.600 %);   6513.003
      BASE;          64.000;           0.062;           0.000;       4096;         31;       60959.207;        4484.419;        6012.903;        4728.259;         433.104 ( 9.160 %);   6609.198
      BASE;         128.000;           0.125;           0.000;       8192;         31;       88710.628;        9048.226;       12870.323;        9482.982;         884.768 ( 9.330 %);   6590.754
      BASE;         256.000;           0.250;           0.000;      16384;         31;      165809.215;       18170.226;       23585.871;       19361.206;        1661.196 ( 8.580 %);   6456.209
      BASE;         512.000;           0.500;           0.000;      32768;         31;      398411.471;       36415.484;       62656.194;       39908.714;        5276.111 (13.220 %);   6264.296
      BASE;        1024.000;           1.000;           0.001;      65536;         31;      930739.775;       72903.613;       81567.484;       76024.874;        2613.146 ( 3.437 %);   6576.795
      BASE;        2048.000;           2.000;           0.002;     131072;         31;     4075884.369;      145934.677;      157736.387;      149588.799;        3416.478 ( 2.284 %);   6684.993
      BASE;        4096.000;           4.000;           0.004;     262144;         31;     3905657.604;      291932.452;      329446.968;      297360.088;        8639.348 ( 2.905 %);   6725.852
      BASE;        8192.000;           8.000;           0.008;     524288;         31;     7843346.361;      583975.903;      653493.194;      589901.716;       14683.437 ( 2.489 %);   6780.791
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;    55093633.448;     1196018.129;     1277381.194;     1204325.204;       17019.822 ( 1.413 %);   6642.724
