     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;          56.562;           6.710;          91.968;           9.363;          14.831 (158.402 %);    814.875
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           3.329;           6.226;          85.935;           8.741;          13.859 (158.552 %);   1745.666
     CBLAS;           0.062;           0.000;           0.000;          4;         31;           9.802;           7.710;          95.774;          10.687;          15.278 (142.958 %);   2855.528
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          28.647;           7.774;         113.484;          11.306;          18.346 (162.266 %);   5398.493
     CBLAS;           0.250;           0.000;           0.000;         16;         31;          50.365;          11.710;         109.839;          15.047;          17.021 (113.119 %);   8112.644
     CBLAS;           0.500;           0.000;           0.000;         32;         31;        4095.984;          18.968;         100.323;          21.747;          14.107 (64.869 %);  11226.496
     CBLAS;           1.000;           0.001;           0.000;         64;         31;         447.284;          43.677;         130.871;          46.761;          15.100 (32.293 %);  10442.172
     CBLAS;           2.000;           0.002;           0.000;        128;         31;         807.083;         101.871;         196.516;         105.043;          16.422 (15.633 %);   9296.787
     CBLAS;           4.000;           0.004;           0.000;        256;         31;        2204.458;         229.452;         797.516;         253.859;          99.328 (39.127 %);   7693.732
     CBLAS;           8.000;           0.008;           0.000;        512;         31;        7885.148;         515.581;         606.000;         518.989;          15.628 ( 3.011 %);   7526.649
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;        7823.760;        1085.097;        1171.387;        1088.262;          14.927 ( 1.372 %);   7178.878
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;       13598.906;        2226.000;        5084.065;        2439.755;         533.612 (21.872 %);   6404.333
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;       88120.531;        4504.903;        8412.516;        4714.665;         720.701 (15.286 %);   6628.255
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;       90935.402;        9069.161;       12231.194;        9473.888;         864.893 ( 9.129 %);   6597.081
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;      267995.848;       18190.645;       23238.452;       19155.535;        1489.391 ( 7.775 %);   6525.529
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;      554421.042;       36438.323;       42410.097;       37790.574;        1843.226 ( 4.877 %);   6615.406
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;      646437.059;       72935.258;       78125.613;       73282.409;        1069.739 ( 1.460 %);   6822.920
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;     3528413.864;      145961.774;      152155.710;      147143.916;        1843.226 ( 1.253 %);   6796.068
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;     3598660.408;      291960.484;      297848.645;      292950.790;        1478.953 ( 0.505 %);   6827.085
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;     6624669.124;      584552.097;      620842.839;      587925.916;        6928.945 ( 1.179 %);   6803.578
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;    18807310.769;     1198046.258;     1269028.452;     1203458.080;       11912.285 ( 0.990 %);   6647.510
