     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           1.007;           2.355;           4.548;           2.508;           0.414 (16.504 %);   3041.649
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;           2.773;           2.323;           5.097;           2.543;           0.502 (19.730 %);   5999.132
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;          58.502;           3.419;           5.710;           3.638;           0.405 (11.120 %);   8387.824
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;          30.693;           2.516;           4.452;           2.624;           0.335 (12.776 %);  23263.400
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;          79.736;           3.710;           6.387;           3.953;           0.502 (12.703 %);  30879.805
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;         164.885;           5.613;           8.000;           5.777;           0.406 ( 7.026 %);  42259.875
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;         810.785;          10.129;          12.452;          10.336;           0.393 ( 3.802 %);  47239.618
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;         603.359;          21.452;          23.968;          21.685;           0.422 ( 1.945 %);  45033.512
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;        1952.597;          46.065;          48.645;          46.434;           0.432 ( 0.931 %);  42062.374
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;        7573.441;          80.806;          83.677;          81.346;           0.466 ( 0.573 %);  48020.161
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;        8404.306;         158.387;        3394.968;         257.537;         563.230 (218.699 %);  30335.487
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;       21876.385;         313.516;         316.806;         314.410;           0.751 ( 0.239 %);  49696.323
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;       55657.852;         623.935;         627.355;         625.022;           0.648 ( 0.104 %);  49998.201
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;       69925.936;        1942.097;        3021.548;        2042.118;         267.161 (13.083 %);  30605.475
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;      756558.134;        3881.871;        5447.903;        4078.507;         398.177 ( 9.763 %);  30648.468
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;      403468.950;        7771.645;        8525.903;        7968.957;         154.455 ( 1.938 %);  31371.734
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;     1810471.937;       16570.387;       17681.806;       17285.349;         364.613 ( 2.109 %);  28926.231
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;     1681721.915;       34265.065;       35896.774;       35107.544;         550.541 ( 1.568 %);  28483.906
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;     4254311.905;       68508.742;       71359.194;       70469.377;         867.266 ( 1.231 %);  28381.122
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;     6996045.612;      137731.290;      214160.452;      146373.003;       13343.306 ( 9.116 %);  27327.444
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;    13195275.369;      388662.065;      412222.774;      397211.551;        5547.974 ( 1.397 %);  20140.401
