     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           1.319;           1.742;           3.806;           1.884;           0.358 (18.983 %);   4050.270
      BASE;           0.031;           0.000;           0.000;          2;         31;           3.164;           2.258;          16.581;           2.905;           2.460 (84.672 %);   5252.268
      BASE;           0.062;           0.000;           0.000;          4;         31;          11.384;           2.871;          17.419;           3.370;           2.522 (74.838 %);   9054.374
      BASE;           0.125;           0.000;           0.000;          8;         31;          80.560;           3.194;           7.129;           3.450;           0.682 (19.762 %);  17693.104
      BASE;           0.250;           0.000;           0.000;         16;         31;        1259.302;           4.194;           7.419;           4.328;           0.556 (12.844 %);  28201.881
      BASE;           0.500;           0.000;           0.000;         32;         31;         128.926;           6.258;          10.032;           6.419;           0.651 (10.139 %);  38031.957
      BASE;           1.000;           0.001;           0.000;         64;         31;         338.053;           8.839;          11.968;           9.011;           0.535 ( 5.937 %);  54188.731
      BASE;           2.000;           0.002;           0.000;        128;         31;        1106.642;          24.484;          28.258;          24.679;           0.644 ( 2.610 %);  39569.986
      BASE;           4.000;           0.004;           0.000;        256;         31;        2171.136;          48.516;          53.645;          48.919;           0.871 ( 1.781 %);  39925.803
      BASE;           8.000;           0.008;           0.000;        512;         31;        5462.466;         111.935;         116.613;         112.451;           0.778 ( 0.692 %);  34737.465
      BASE;          16.000;           0.016;           0.000;       1024;         31;       15104.324;         255.968;        1112.968;         320.065;         175.596 (54.863 %);  24409.067
      BASE;          32.000;           0.031;           0.000;       2048;         31;       14635.149;         541.871;        1094.806;         596.296;         126.265 (21.175 %);  26203.421
      BASE;          64.000;           0.062;           0.000;       4096;         31;       34073.228;        1109.484;        1313.839;        1116.773;          35.386 ( 3.169 %);  27982.405
      BASE;         128.000;           0.125;           0.000;       8192;         31;       72045.358;        2253.226;        3396.677;        2317.735;         240.413 (10.373 %);  26965.981
      BASE;         256.000;           0.250;           0.000;      16384;         31;      171236.932;        4534.645;        6484.903;        4798.260;         453.427 ( 9.450 %);  26051.110
      BASE;         512.000;           0.500;           0.000;      32768;         31;      692138.720;        9097.258;       11668.194;        9613.117;         812.238 ( 8.449 %);  26006.132
      BASE;        1024.000;           1.000;           0.001;      65536;         31;      912899.469;       18219.871;       23849.194;       19219.638;        1515.761 ( 7.887 %);  26015.058
      BASE;        2048.000;           2.000;           0.002;     131072;         31;     2104727.208;       36472.871;       47312.258;       39340.198;        2824.540 ( 7.180 %);  25419.292
      BASE;        4096.000;           4.000;           0.004;     262144;         31;     7572559.825;       75438.290;       86193.484;       80139.675;        2700.552 ( 3.370 %);  24956.427
      BASE;        8192.000;           8.000;           0.008;     524288;         31;    10790183.234;      151702.161;      162861.290;      157052.853;        2720.023 ( 1.732 %);  25469.133
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;    13550030.329;      342921.806;      490500.323;      359754.408;       25130.218 ( 6.985 %);  22237.393
