     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           2.085;           6.355;          93.452;           9.067;          15.149 (167.066 %);    841.405
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           2.705;           6.290;         105.968;           9.455;          17.327 (183.262 %);   1613.910
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          10.495;           8.677;         104.226;          12.202;          16.522 (135.401 %);   2500.960
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          24.711;           8.387;         115.226;          11.787;          18.569 (157.543 %);   5178.219
     CBLAS;           0.250;           0.000;           0.000;         16;         31;          77.125;          10.806;         104.516;          14.105;          16.231 (115.079 %);   8654.649
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         142.574;          18.419;         110.516;          21.515;          15.978 (74.265 %);  11347.381
     CBLAS;           1.000;           0.001;           0.000;         64;         31;         525.972;          44.000;         139.871;          47.175;          16.641 (35.276 %);  10350.429
     CBLAS;           2.000;           0.002;           0.000;        128;         31;         641.580;         105.097;         735.710;         133.891;         110.816 (82.766 %);   7293.686
     CBLAS;           4.000;           0.004;           0.000;        256;         31;        1484.613;         229.129;         335.355;         233.591;          18.287 ( 7.829 %);   8361.288
     CBLAS;           8.000;           0.008;           0.000;        512;         31;        3008.105;         515.065;         640.903;         519.483;          21.802 ( 4.197 %);   7519.497
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       12951.610;        1083.839;        2052.194;        1197.077;         221.279 (18.485 %);   6526.312
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;       15777.996;        2225.548;        5770.194;        2370.152;         640.792 (27.036 %);   6592.406
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;       35672.414;        4504.581;        9234.323;        4916.874;         909.129 (18.490 %);   6355.664
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;      206579.923;        9068.645;       12589.226;        9652.257;         933.406 ( 9.670 %);   6475.169
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;      159973.639;       18190.065;       22624.097;       19134.592;        1373.981 ( 7.181 %);   6532.671
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     1286243.993;       36437.065;       43121.581;       38247.628;        2107.103 ( 5.509 %);   6536.353
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;      983567.025;       72934.226;       81052.548;       74403.498;        2385.155 ( 3.206 %);   6720.114
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;     1638091.454;      145961.968;      154690.968;      146998.570;        2210.093 ( 1.503 %);   6802.787
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;     4082415.474;      291959.323;      299785.484;      292759.380;        1584.442 ( 0.541 %);   6831.549
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;     8219010.870;      584554.419;      629967.452;      587780.646;        8445.583 ( 1.437 %);   6805.260
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;    30197593.645;     1195303.387;     1230564.032;     1198635.059;        6873.510 ( 0.573 %);   6674.258
