     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;           0.016;           0.000;           0.000;          1;         31;           1.849;           2.226;           5.032;           2.457;           0.528 (21.468 %);   3104.563
   UNROLL4;           0.031;           0.000;           0.000;          2;         31;           8.245;           3.000;           5.774;           3.349;           0.483 (14.419 %);   4556.258
   UNROLL4;           0.062;           0.000;           0.000;          4;         31;           9.081;           2.290;           3.935;           2.427;           0.301 (12.414 %);  12573.291
   UNROLL4;           0.125;           0.000;           0.000;          8;         31;          16.677;           2.677;           4.613;           2.835;           0.351 (12.396 %);  21530.678
   UNROLL4;           0.250;           0.000;           0.000;         16;         31;         188.507;           4.032;           5.935;           4.210;           0.333 ( 7.910 %);  28994.179
   UNROLL4;           0.500;           0.000;           0.000;         32;         31;         137.415;           5.581;           7.323;           5.774;           0.316 ( 5.465 %);  42281.337
   UNROLL4;           1.000;           0.001;           0.000;         64;         31;       18071.562;          10.581;          13.355;          10.837;           0.461 ( 4.250 %);  45057.886
   UNROLL4;           2.000;           0.002;           0.000;        128;         31;        5800.651;          24.419;          26.935;          24.642;           0.422 ( 1.712 %);  39629.634
   UNROLL4;           4.000;           0.004;           0.000;        256;         31;        1944.934;          43.290;          47.161;          43.886;           0.981 ( 2.235 %);  44504.886
   UNROLL4;           8.000;           0.008;           0.000;        512;         31;        3875.304;          98.032;          99.839;          98.342;           0.313 ( 0.318 %);  39721.023
   UNROLL4;          16.000;           0.016;           0.000;       1024;         31;        8827.599;         204.677;         206.323;         205.250;           0.310 ( 0.151 %);  38063.292
   UNROLL4;          32.000;           0.031;           0.000;       2048;         31;       21855.185;         443.097;        1041.613;         503.565;         103.805 (20.614 %);  31028.765
   UNROLL4;          64.000;           0.062;           0.000;       4096;         31;       36318.864;         846.097;         848.194;         846.632;           0.402 ( 0.047 %);  36910.940
   UNROLL4;         128.000;           0.125;           0.000;       8192;         31;       82766.289;        1732.677;        2374.613;        1787.049;         147.955 ( 8.279 %);  34973.862
   UNROLL4;         256.000;           0.250;           0.000;      16384;         31;      249953.314;        3464.516;        5026.710;        3645.763;         414.831 (11.378 %);  34286.372
   UNROLL4;         512.000;           0.500;           0.000;      32768;         31;      346321.651;        6927.194;        9590.065;        7294.160;         655.475 ( 8.986 %);  34273.993
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         31;      722185.977;       14259.065;       16789.323;       14717.893;         539.947 ( 3.669 %);  33972.253
   UNROLL4;        2048.000;           2.000;           0.002;     131072;         31;     1925648.189;       28989.032;       32911.323;       31088.382;        1361.246 ( 4.379 %);  32166.357
   UNROLL4;        4096.000;           4.000;           0.004;     262144;         31;     3539050.602;       58054.839;       65935.323;       64063.729;        2305.105 ( 3.598 %);  31218.913
   UNROLL4;        8192.000;           8.000;           0.008;     524288;         31;    22933626.703;      120515.355;      135251.161;      132304.418;        3711.607 ( 2.805 %);  30233.306
   UNROLL4;       16384.000;          16.000;           0.016;    1048576;         31;    17116109.637;      387758.613;      417859.419;      399455.667;        7581.030 ( 1.898 %);  20027.254
