     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           2.172;           3.484;           7.581;           3.676;           0.713 (19.390 %);   2075.212
      BASE;           0.031;           0.000;           0.000;          2;         31;           7.579;           4.839;          12.387;           5.881;           1.206 (20.504 %);   2594.704
      BASE;           0.062;           0.000;           0.000;          4;         31;          20.931;           8.290;          15.645;           8.854;           1.252 (14.142 %);   3446.620
      BASE;           0.125;           0.000;           0.000;          8;         31;          18.532;          16.097;          34.452;          16.893;           3.154 (18.671 %);   3612.948
      BASE;           0.250;           0.000;           0.000;         16;         31;          76.142;          34.516;          50.161;          36.996;           2.739 ( 7.403 %);   3299.546
      BASE;           0.500;           0.000;           0.000;         32;         31;         342.393;          60.516;         583.452;          77.479;          90.866 (117.278 %);   3151.056
      BASE;           1.000;           0.001;           0.000;         64;         31;         312.411;         138.710;         667.903;         157.681;          91.735 (58.177 %);   3096.633
      BASE;           2.000;           0.002;           0.000;        128;         31;         866.009;         331.935;         948.613;         370.063;         105.350 (28.468 %);   2638.912
      BASE;           4.000;           0.004;           0.000;        256;         31;        3758.123;         672.581;        1742.161;         803.372;         289.680 (36.058 %);   2431.158
      BASE;           8.000;           0.008;           0.000;        512;         31;        2346.239;        1256.742;        2811.258;        1368.349;         335.456 (24.515 %);   2854.718
      BASE;          16.000;           0.016;           0.000;       1024;         31;        6728.625;        2539.548;        4030.065;        2727.281;         376.417 (13.802 %);   2864.575
      BASE;          32.000;           0.031;           0.000;       2048;         31;       26951.616;        5105.484;        7722.419;        5458.187;         693.560 (12.707 %);   2862.672
      BASE;          64.000;           0.062;           0.000;       4096;         31;       73999.837;       10236.677;       13554.774;       10771.135;         967.906 ( 8.986 %);   2901.273
      BASE;         128.000;           0.125;           0.000;       8192;         31;      105657.527;       20502.677;       26213.774;       21898.966;        1755.151 ( 8.015 %);   2854.016
      BASE;         256.000;           0.250;           0.000;      16384;         31;      289088.163;       41035.548;       47425.516;       43247.643;        2233.208 ( 5.164 %);   2890.331
      BASE;         512.000;           0.500;           0.000;      32768;         31;      401584.753;       82084.161;       87663.677;       85142.723;        1835.144 ( 2.155 %);   2936.246
      BASE;        1024.000;           1.000;           0.001;      65536;         31;      809152.632;      164233.613;      180968.194;      170024.510;        5094.153 ( 2.996 %);   2940.752
      BASE;        2048.000;           2.000;           0.002;     131072;         31;     1710087.909;      328672.419;      357192.742;      342687.051;        6744.862 ( 1.968 %);   2918.114
      BASE;        4096.000;           4.000;           0.004;     262144;         31;     5118070.170;      664763.194;      694198.774;      680763.980;        7994.403 ( 1.174 %);   2937.876
      BASE;        8192.000;           8.000;           0.008;     524288;         31;     9059422.591;     1358710.968;     1430492.548;     1374702.745;       12245.397 ( 0.891 %);   2909.720
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;    28033504.255;     2756598.484;     2868125.806;     2806024.204;       27934.566 ( 0.996 %);   2851.009
