     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           1.545;           6.935;          83.290;           9.371;          13.271 (141.613 %);    814.110
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           4.884;           7.194;          87.355;           9.727;          13.936 (143.264 %);   1568.661
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          10.840;           8.839;          90.968;          11.461;          14.274 (124.541 %);   2662.642
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          64.573;           8.903;         100.452;          11.856;          15.906 (134.158 %);   5147.907
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         107.678;          11.710;         569.258;          32.597;          98.595 (302.463 %);   3744.803
     CBLAS;           0.500;           0.000;           0.000;         32;         31;          80.901;          19.581;         111.355;          22.554;          15.942 (70.683 %);  10824.594
     CBLAS;           1.000;           0.001;           0.000;         64;         31;         420.422;          45.516;         145.323;          48.763;          17.335 (35.548 %);  10013.265
     CBLAS;           2.000;           0.002;           0.000;        128;         31;        1040.414;         105.968;         624.032;         127.054;          93.917 (73.919 %);   7686.215
     CBLAS;           4.000;           0.004;           0.000;        256;         31;        2205.448;         276.194;         762.097;         291.612;          84.461 (28.964 %);   6697.686
     CBLAS;           8.000;           0.008;           0.000;        512;         31;        7769.444;         515.839;        1140.806;         589.203;         152.642 (25.906 %);   6629.715
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;        7141.379;        1086.065;        1185.452;        1089.469;          17.232 ( 1.582 %);   7170.923
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;       15331.362;        2226.419;        2767.806;        2255.089;         114.104 ( 5.060 %);   6928.773
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;       35972.163;        4505.968;        6262.710;        4656.471;         393.197 ( 8.444 %);   6711.091
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;      113511.121;        9071.839;       11409.258;        9457.091;         673.370 ( 7.120 %);   6608.798
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;      184308.767;       18193.258;       22216.129;       19009.359;        1311.305 ( 6.898 %);   6575.708
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;      303362.297;       36441.355;       36555.677;       36464.204;          32.086 ( 0.088 %);   6856.039
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;      700953.447;       72947.161;       77618.097;       73229.806;         996.975 ( 1.361 %);   6827.821
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;     2349951.726;      145971.097;      151713.161;      146169.325;         995.633 ( 0.681 %);   6841.381
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;     3861189.480;      291966.710;      299943.355;      292470.009;        1600.482 ( 0.547 %);   6838.308
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;     7791533.943;      584006.097;      632725.516;      585950.691;        8515.565 ( 1.453 %);   6826.513
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;    15167271.293;     1195619.871;     1257837.516;     1200742.287;       12103.595 ( 1.008 %);   6662.545
