     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           3.201;           3.774;           6.516;           3.998;           0.520 (13.007 %);   1908.281
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;           4.690;           5.258;           8.258;           5.449;           0.538 ( 9.877 %);   2800.456
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;          87.853;           7.774;          10.645;           7.984;           0.503 ( 6.301 %);   3822.170
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;          32.439;           7.774;          10.355;           7.962;           0.450 ( 5.658 %);   7665.926
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;          34.305;          12.097;          15.290;          12.592;           0.615 ( 4.887 %);   9693.986
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;         176.088;          21.839;          26.000;          23.181;           0.897 ( 3.868 %);  10532.000
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;         303.760;          45.742;          49.065;          47.297;           0.780 ( 1.650 %);  10323.690
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;         969.958;          76.323;          84.000;          78.152;           2.214 ( 2.832 %);  12495.603
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;        2014.298;         139.387;         356.774;         147.958;          37.740 (25.507 %);  13200.540
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;        3275.719;         272.935;         277.355;         273.688;           0.898 ( 0.328 %);  14272.630
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;       13006.627;         555.839;        1181.452;         653.253;         162.804 (24.922 %);  11959.375
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;       14156.149;        1077.355;        1080.968;        1077.707;           0.626 ( 0.058 %);  14498.378
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;       45604.424;        2149.387;        4825.419;        2345.998;         525.645 (22.406 %);  13320.557
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;       72209.193;        4488.839;        5893.645;        4695.640;         413.583 ( 8.808 %);  13310.219
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;      152651.172;        8975.935;        9963.032;        9313.509;         203.135 ( 2.181 %);  13421.364
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;      429602.709;       19569.839;       19831.323;       19616.241;          76.794 ( 0.391 %);  12744.541
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;     1113656.816;       39361.323;       40941.419;       39795.365;         528.709 ( 1.329 %);  12564.277
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;     1552215.990;       78711.645;       81278.258;       79761.634;         991.623 ( 1.243 %);  12537.356
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;     3405206.415;      157563.968;      163024.323;      160764.021;        1635.639 ( 1.017 %);  12440.595
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;     7461805.220;      314961.419;      325330.419;      322024.493;        2967.260 ( 0.921 %);  12421.415
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;    15080054.559;      731210.548;      809187.484;      740182.639;       13032.523 ( 1.761 %);  10808.143
