     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           2.745;           1.710;          15.032;           2.209;           2.303 (104.255 %);   3453.483
      BASE;           0.031;           0.000;           0.000;          2;         31;           4.775;           2.000;           4.935;           2.188;           0.535 (24.470 %);   6974.862
      BASE;           0.062;           0.000;           0.000;          4;         31;           9.352;           3.419;           6.839;           3.731;           0.563 (15.081 %);   8179.063
      BASE;           0.125;           0.000;           0.000;          8;         31;          21.580;           5.290;           9.000;           5.791;           0.671 (11.588 %);  10540.001
      BASE;           0.250;           0.000;           0.000;         16;         31;          36.345;           7.871;          11.161;           8.152;           0.546 ( 6.698 %);  14973.373
      BASE;           0.500;           0.000;           0.000;         32;         31;         107.699;          12.968;          15.903;          13.196;           0.492 ( 3.727 %);  18501.805
      BASE;           1.000;           0.001;           0.000;         64;         31;         804.323;          31.968;         558.806;          48.532;          91.608 (188.760 %);  10061.064
      BASE;           2.000;           0.002;           0.000;        128;         31;        1790.523;          87.000;         609.032;         103.644;          90.767 (87.576 %);   9422.261
      BASE;           4.000;           0.004;           0.000;        256;         31;        2293.180;         217.129;         220.613;         218.170;           0.623 ( 0.285 %);   8952.304
      BASE;           8.000;           0.008;           0.000;        512;         31;        2640.237;         502.065;        1494.516;         568.413;         171.203 (30.119 %);   6872.210
      BASE;          16.000;           0.016;           0.000;       1024;         31;        6160.104;        1073.065;        1074.742;        1073.741;           0.434 ( 0.040 %);   7275.963
      BASE;          32.000;           0.031;           0.000;       2048;         31;       23006.968;        2213.226;        3196.677;        2376.823;         238.752 (10.045 %);   6573.901
      BASE;          64.000;           0.062;           0.000;       4096;         31;       30568.768;        4493.226;        6988.516;        4807.510;         518.055 (10.776 %);   6500.246
      BASE;         128.000;           0.125;           0.000;       8192;         31;       90512.409;        9056.613;       13100.161;        9597.538;        1048.278 (10.922 %);   6512.087
      BASE;         256.000;           0.250;           0.000;      16384;         31;      131107.644;       18178.774;       22994.419;       19071.416;        1448.381 ( 7.595 %);   6554.311
      BASE;         512.000;           0.500;           0.000;      32768;         31;    10133013.392;       36424.161;       42135.097;       38003.880;        1933.067 ( 5.086 %);   6578.276
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     1023099.266;       72917.677;       80158.935;       76055.203;        2358.300 ( 3.101 %);   6574.172
      BASE;        2048.000;           2.000;           0.002;     131072;         31;     2461315.148;      145952.935;      160989.129;      150156.283;        3880.623 ( 2.584 %);   6659.728
      BASE;        4096.000;           4.000;           0.004;     262144;         31;     3512378.772;      291984.935;      308431.871;      295759.420;        5317.451 ( 1.798 %);   6762.253
      BASE;        8192.000;           8.000;           0.008;     524288;         31;    10805169.966;      584167.355;      622448.452;      588739.563;        8855.905 ( 1.504 %);   6794.176
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;    14069627.250;     1198082.742;     1260431.323;     1204477.330;       14571.400 ( 1.210 %);   6641.885
