     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           2.791;           6.419;         105.903;           9.897;          17.235 (174.140 %);    770.851
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           4.194;           6.710;         102.097;           9.758;          16.578 (169.895 %);   1563.789
     CBLAS;           0.062;           0.000;           0.000;          4;         31;          11.410;           8.258;         637.581;          27.568;         109.508 (397.230 %);   1106.995
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          30.363;           9.226;         103.387;          12.260;          16.362 (133.455 %);   4978.390
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         108.071;          11.806;         106.355;          14.908;          16.419 (110.132 %);   8188.180
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         104.806;          19.387;         105.290;          22.182;          14.920 (67.261 %);  11006.340
     CBLAS;           1.000;           0.001;           0.000;         64;         31;        1142.264;          43.581;         124.806;          46.386;          14.079 (30.351 %);  10526.452
     CBLAS;           2.000;           0.002;           0.000;        128;         31;         579.084;          94.419;         173.000;          97.097;          13.627 (14.035 %);  10057.620
     CBLAS;           4.000;           0.004;           0.000;        256;         31;        1730.279;         229.484;         327.484;         233.054;          16.955 ( 7.275 %);   8380.577
     CBLAS;           8.000;           0.008;           0.000;        512;         31;        8649.614;         515.742;        1055.258;         560.801;          92.306 (16.460 %);   6965.488
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       20895.697;        1084.935;        3979.161;        1266.712;         537.726 (42.451 %);   6167.544
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;       11193.602;        2225.258;        3508.129;        2385.063;         321.246 (13.469 %);   6551.191
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;       30907.543;        4505.258;        5961.548;        4624.963;         300.049 ( 6.488 %);   6756.811
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;       70901.079;        9069.161;       13771.323;        9687.679;        1136.362 (11.730 %);   6451.493
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;      314985.110;       18190.355;       24341.000;       19162.101;        1728.661 ( 9.021 %);   6523.293
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;      292250.817;       36438.065;       40588.419;       37682.606;        1491.886 ( 3.959 %);   6634.361
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;      801397.983;       72929.194;       78395.290;       73189.391;         998.655 ( 1.364 %);   6831.591
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;     1364449.245;      145972.871;      154488.677;      146793.890;        1823.677 ( 1.242 %);   6812.273
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;     3457307.717;      291956.258;      296663.032;      292377.181;         858.728 ( 0.294 %);   6840.479
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;     9471106.702;      584447.613;      621090.484;      587199.163;        6486.029 ( 1.105 %);   6811.999
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;    14610012.946;     1197070.355;     1256367.258;     1202121.096;       10421.853 ( 0.867 %);   6654.904
