     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           1.124;           2.613;           4.548;           2.768;           0.356 (12.856 %);   2755.957
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;          17.596;           2.516;           5.097;           2.676;           0.478 (17.843 %);   5701.147
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;         134.446;           2.968;           4.968;           3.259;           0.371 (11.371 %);   9363.972
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;         162.396;           3.258;           5.355;           3.413;           0.371 (10.869 %);  17880.574
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;          83.921;           3.935;           5.581;           4.078;           0.326 ( 7.996 %);  29932.390
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;         174.980;           5.548;           7.774;           5.688;           0.383 ( 6.741 %);  42920.753
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;         219.720;          11.194;          13.613;          11.390;           0.403 ( 3.538 %);  42869.183
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;         522.294;          19.645;          21.645;          19.846;           0.334 ( 1.683 %);  49208.129
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;        1580.720;          43.484;          45.129;          43.816;           0.270 ( 0.615 %);  44575.381
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;       30726.046;          83.484;         605.355;         100.552;          90.632 (90.134 %);  38847.944
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;       14596.493;         159.000;         746.032;         188.049;         100.190 (53.279 %);  41545.050
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;       14738.237;         306.355;         309.129;         307.043;           0.515 ( 0.168 %);  50888.636
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;       98533.134;         607.065;         609.290;         607.999;           0.540 ( 0.089 %);  51398.109
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;      107659.424;        2126.581;        4216.355;        2320.179;         454.158 (19.574 %);  26937.578
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;      192280.457;        4253.742;        6515.387;        4519.472;         540.794 (11.966 %);  27658.097
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;      374074.589;        8533.452;        8746.903;        8561.076;          59.757 ( 0.698 %);  29201.936
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;      943697.366;       17312.484;       20044.194;       17465.533;         532.735 ( 3.050 %);  28627.813
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;     2076688.694;       34235.290;       40322.645;       35853.560;        2133.691 ( 5.951 %);  27891.233
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;     3697591.430;       68436.516;       79323.452;       73079.242;        3164.781 ( 4.331 %);  27367.552
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;     6612173.016;      137778.806;      154986.161;      143390.630;        5423.134 ( 3.782 %);  27895.825
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;    17915079.705;      402621.129;      546378.839;      410189.809;       24651.556 ( 6.010 %);  19503.166
