     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           1.004;           2.355;          16.355;           2.868;           2.422 (84.446 %);   2660.147
      BASE;           0.031;           0.000;           0.000;          2;         31;          13.132;           2.290;           4.677;           2.442;           0.403 (16.512 %);   6248.896
      BASE;           0.062;           0.000;           0.000;          4;         31;           9.909;           4.484;           7.903;           4.668;           0.598 (12.822 %);   6538.112
      BASE;           0.125;           0.000;           0.000;          8;         31;          44.838;           5.032;           8.645;           5.169;           0.625 (12.086 %);  11807.671
      BASE;           0.250;           0.000;           0.000;         16;         31;         125.847;           6.806;          11.548;           7.036;           0.816 (11.604 %);  17348.976
      BASE;           0.500;           0.000;           0.000;         32;         31;         229.845;          12.419;          16.581;          12.620;           0.722 ( 5.721 %);  19345.922
      BASE;           1.000;           0.001;           0.000;         64;         31;         431.090;          23.194;          27.194;          23.426;           0.680 ( 2.904 %);  20843.385
      BASE;           2.000;           0.002;           0.000;        128;         31;         789.844;          42.452;          45.677;          42.796;           0.541 ( 1.264 %);  22819.174
      BASE;           4.000;           0.004;           0.000;        256;         31;        2345.779;          90.323;         612.355;         108.262;          90.502 (83.596 %);  18040.730
      BASE;           8.000;           0.008;           0.000;        512;         31;        3922.855;         221.548;         239.645;         222.705;           3.057 ( 1.373 %);  17540.036
      BASE;          16.000;           0.016;           0.000;       1024;         31;       13160.912;         506.452;        1487.161;         542.211;         172.387 (31.793 %);  14408.594
      BASE;          32.000;           0.031;           0.000;       2048;         31;       24709.467;        1076.774;        1079.935;        1077.408;           0.519 ( 0.048 %);  14502.403
      BASE;          64.000;           0.062;           0.000;       4096;         31;       32737.682;        2216.677;        3008.323;        2308.385;         201.465 ( 8.728 %);  13537.602
      BASE;         128.000;           0.125;           0.000;       8192;         31;       76842.848;        4499.258;        7163.516;        4758.401;         563.848 (11.850 %);  13134.665
      BASE;         256.000;           0.250;           0.000;      16384;         31;      171027.003;        9060.129;       11167.065;        9434.921;         619.725 ( 6.568 %);  13248.654
      BASE;         512.000;           0.500;           0.000;      32768;         31;      398520.647;       18184.000;       24773.355;       19319.559;        1787.604 ( 9.253 %);  12940.254
      BASE;        1024.000;           1.000;           0.001;      65536;         31;      708769.938;       36435.935;       42983.806;       38556.197;        2116.443 ( 5.489 %);  12968.084
      BASE;        2048.000;           2.000;           0.002;     131072;         31;     1753920.778;       72925.161;       78611.129;       76085.092;        1886.527 ( 2.479 %);  13143.179
      BASE;        4096.000;           4.000;           0.004;     262144;         31;     4183666.494;      145947.290;      157495.419;      150079.487;        4006.973 ( 2.670 %);  13326.272
      BASE;        8192.000;           8.000;           0.008;     524288;         31;     7372814.919;      291943.258;      325143.903;      297562.798;        9235.604 ( 3.104 %);  13442.541
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;    33117429.812;      612021.581;      666205.613;      617666.784;       11453.519 ( 1.854 %);  12951.967
