     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           1.970;           7.194;          93.129;           9.859;          14.950 (151.630 %);    773.832
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           5.574;           6.806;         113.484;          10.143;          18.552 (182.908 %);   1504.408
     CBLAS;           0.062;           0.000;           0.000;          4;         31;           7.859;          10.419;         117.774;          14.016;          18.627 (132.903 %);   2177.395
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          25.910;           8.903;          97.452;          11.664;          15.401 (132.039 %);   5232.900
     CBLAS;           0.250;           0.000;           0.000;         16;         31;         210.437;          10.419;          95.419;          13.507;          14.709 (108.898 %);   9037.338
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         305.543;          19.387;         637.645;          38.225;         107.607 (281.510 %);   6386.964
     CBLAS;           1.000;           0.001;           0.000;         64;         31;         260.105;          48.323;         151.677;          51.639;          17.959 (34.778 %);   9455.614
     CBLAS;           2.000;           0.002;           0.000;        128;         31;        1050.430;         100.032;         208.226;         103.620;          18.779 (18.123 %);   9424.483
     CBLAS;           4.000;           0.004;           0.000;        256;         31;        1802.920;         230.065;         332.613;         233.740;          17.753 ( 7.595 %);   8355.973
     CBLAS;           8.000;           0.008;           0.000;        512;         31;        2822.973;         515.516;         608.645;         519.201;          16.064 ( 3.094 %);   7523.574
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;        7308.233;        1085.548;        2091.774;        1203.850;         228.025 (18.941 %);   6489.594
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;       29293.859;        2225.968;        3491.323;        2380.104;         321.413 (13.504 %);   6564.840
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;       34578.040;        4505.903;        7695.548;        4885.418;         724.029 (14.820 %);   6396.586
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;       89402.026;        9069.000;       12180.000;        9586.955;         869.975 ( 9.075 %);   6519.275
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;      594212.236;       18190.903;       23930.968;       19119.406;        1557.351 ( 8.145 %);   6537.860
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;      315773.319;       36436.903;       41838.581;       38171.674;        1946.301 ( 5.099 %);   6549.359
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;      853405.775;       72934.871;       79171.419;       74441.118;        2167.513 ( 2.912 %);   6716.718
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;     1893665.576;      145959.613;      158492.323;      147040.656;        3047.772 ( 2.073 %);   6800.840
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;     3001131.302;      291954.516;      319821.000;      295254.398;        6138.927 ( 2.079 %);   6773.820
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;     7695089.896;      584601.000;      591515.548;      585401.346;        1717.074 ( 0.293 %);   6832.919
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;    15400191.207;     1194825.677;     1241389.129;     1198405.163;        7993.752 ( 0.667 %);   6675.539
