     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           1.226;           2.677;           5.129;           2.890;           0.442 (15.302 %);   2640.349
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;           4.320;           2.903;           4.968;           3.067;           0.357 (11.632 %);   4974.424
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;           9.192;           4.129;           6.226;           4.610;           0.371 ( 8.040 %);   6619.907
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;          26.257;           3.258;           5.387;           3.543;           0.369 (10.425 %);  17224.542
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;          35.784;           4.032;           5.742;           4.209;           0.325 ( 7.714 %);  29000.913
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;         112.370;           6.032;           7.839;           6.173;           0.342 ( 5.539 %);  39549.621
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;         383.772;          10.290;          12.645;          10.454;           0.415 ( 3.969 %);  46709.530
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;        1419.804;          16.161;         538.097;          32.744;          90.722 (277.066 %);  29824.266
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;        2448.310;          33.968;          36.065;          34.203;           0.349 ( 1.022 %);  57103.369
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;        6994.449;          66.935;          68.839;          67.275;           0.335 ( 0.498 %);  58064.191
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;        7250.373;         137.323;         138.935;         137.804;           0.309 ( 0.224 %);  56692.635
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;       27560.430;         279.581;        2941.613;         381.210;         465.008 (121.982 %);  40987.889
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;       43332.980;         565.419;         567.774;         566.252;           0.504 ( 0.089 %);  55187.424
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;       92992.908;        1137.516;        1141.968;        1139.310;           0.979 ( 0.086 %);  54857.771
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;      179893.138;        2281.871;        3409.194;        2413.181;         270.019 (11.189 %);  51798.853
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;      325112.745;        4585.161;        6766.258;        4805.915;         463.118 ( 9.636 %);  52019.231
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;     1455524.979;        9628.419;       11792.452;        9993.862;         510.924 ( 5.112 %);  50030.708
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;     1384937.678;       20328.452;       23523.677;       21623.947;         836.675 ( 3.869 %);  46245.026
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;     3438514.439;       41980.161;       46184.839;       44789.847;        1486.934 ( 3.320 %);  44652.977
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;    13226795.346;       88261.484;       98092.742;       94995.680;        2367.051 ( 2.492 %);  42107.178
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;    15527788.432;      310117.129;      342024.065;      321239.537;        9306.313 ( 2.897 %);  24903.535
