     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.016;           0.000;           0.000;          1;         31;           9.541;           3.871;           7.935;           4.102;           0.697 (16.984 %);   1860.074
      BASE;           0.031;           0.000;           0.000;          2;         31;           6.502;           5.419;           9.516;           5.638;           0.712 (12.620 %);   2706.266
      BASE;           0.062;           0.000;           0.000;          4;         31;          15.633;           8.323;          22.452;           8.883;           2.437 (27.432 %);   3435.620
      BASE;           0.125;           0.000;           0.000;          8;         31;          24.563;          15.097;          30.774;          15.752;           2.700 (17.141 %);   3874.827
      BASE;           0.250;           0.000;           0.000;         16;         31;          63.287;          31.226;          50.226;          32.516;           3.220 ( 9.903 %);   3754.147
      BASE;           0.500;           0.000;           0.000;         32;         31;         173.208;          88.903;          91.903;          89.317;           0.489 ( 0.547 %);   2733.426
      BASE;           1.000;           0.001;           0.000;         64;         31;         336.302;         168.613;         172.097;         169.173;           0.594 ( 0.351 %);   2886.283
      BASE;           2.000;           0.002;           0.000;        128;         31;         823.885;         329.613;         342.516;         330.630;           2.182 ( 0.660 %);   2953.646
      BASE;           4.000;           0.004;           0.000;        256;         31;       12454.160;         650.097;        1185.774;         685.815;          91.767 (13.381 %);   2847.888
      BASE;           8.000;           0.008;           0.000;        512;         31;       51985.281;        1291.581;        2296.161;        1426.825;         271.208 (19.008 %);   2737.722
      BASE;          16.000;           0.016;           0.000;       1024;         31;       11078.551;        2574.548;        4574.806;        2679.828;         369.324 (13.782 %);   2915.299
      BASE;          32.000;           0.031;           0.000;       2048;         31;       31831.747;        5140.613;        7932.645;        5493.314;         655.590 (11.934 %);   2844.367
      BASE;          64.000;           0.062;           0.000;       4096;         31;      230274.554;       10272.194;       13240.419;       10788.833;         928.245 ( 8.604 %);   2896.514
      BASE;         128.000;           0.125;           0.000;       8192;         31;       71964.065;       20536.194;       25366.097;       21645.182;        1527.381 ( 7.056 %);   2887.479
      BASE;         256.000;           0.250;           0.000;      16384;         31;      321846.230;       41062.161;       48217.548;       43203.999;        2132.093 ( 4.935 %);   2893.251
      BASE;         512.000;           0.500;           0.000;      32768;         31;      355933.237;       82113.903;       96396.710;       86112.101;        2996.855 ( 3.480 %);   2903.192
      BASE;        1024.000;           1.000;           0.001;      65536;         31;     1147716.604;      164265.710;      174268.355;      167447.089;        3410.615 ( 2.037 %);   2986.018
      BASE;        2048.000;           2.000;           0.002;     131072;         31;     6862551.561;      328602.645;      357557.581;      333669.889;        7191.609 ( 2.155 %);   2996.974
      BASE;        4096.000;           4.000;           0.004;     262144;         31;     3679019.158;      657968.258;      698173.903;      664741.076;       11000.411 ( 1.655 %);   3008.690
      BASE;        8192.000;           8.000;           0.008;     524288;         31;     6433587.680;     1314340.355;     1426617.935;     1322117.292;       20075.970 ( 1.518 %);   3025.450
      BASE;       16384.000;          16.000;           0.016;    1048576;         31;    16095593.349;     2672037.581;     2770969.097;     2681873.918;       21467.111 ( 0.800 %);   2982.989
